model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m;n_3m;n_1m
3868;623.9115;409.48495;144.05243;10.816275;282.5022;8.88823;7.3194;1.1011547;1.7292131;1.2124094;1.2085458;282.5022;8.88823;4.7988286;1.1011547;1.6202986;0.57253635;1.2085458;13.862795;8.88823;4.4661083;0.75538516;1.0950744;0.0;0;-8.383802244811035;-8.327368959621026;8.893473819521919;8.327368959621026;-1.0;;;0.38461538461538464;0.3076923076923077;0.07692307692307693
3869;472.37192;651.86914;910.993;11.420229;587.9716;4.860465;3.6561842;0.15948465;1.9796822;0.22929461;1.8962188;587.9716;4.860465;9.660503;0.15948465;1.5896769;0.22929461;0.44091684;24.251036;4.860465;4.0839543;0.18953966;0.96513134;0.0;0;-10.21311521747887;-5.99436223202909;10.61153995051403;5.99436223202909;-1.0;;;0.41025641025641024;0.2564102564102564;0.10256410256410256
3870;376.92197;553.9594;365.29102;40.087917;527.16876;83.361176;1.4928882;1.8481232;0.6472087;1.6971754;1.9120595;340.96387;81.09604;6.6777606;1.2460271;0.6472087;0.15953028;0.859748;75.3447;22.428373;6.44619;0.6472087;0.90919995;0.0;0;-16.30542628750838;-9.082612585800064;16.696785298499105;9.082612585800064;-1.0;;;0.2564102564102564;0.15384615384615385;0.10256410256410256
3871;211.65245;876.00726;431.00464;0.6372511;764.9655;38.410713;5.3639135;0.84931725;1.106836;0.24845581;0.20090957;249.74332;38.410713;1.3319404;0.84931725;0.36786065;0.24845581;0.20090957;49.93192;11.535114;9.4461;0.36786065;0.8105668;0.0;0;-21.379388277494197;-13.092794529427948;22.304442601983784;13.092794529427948;-1.0;;;0.15384615384615385;0.15384615384615385;0.05128205128205128
3872;120.40613;26.11243;895.50885;72.17619;993.7211;86.04135;2.7712085;0.88376725;0.48348427;1.5471053;1.2745311;447.07385;7.5635953;2.1307197;0.88376725;0.48348427;0.86035657;1.2745311;74.200035;7.5635953;5.9496794;0.48348427;0.8802131;0.0;0;-18.399919112405694;-12.764776500933522;18.84093223077015;12.764776500933522;-1.0;;;0.15384615384615385;0.1282051282051282;0.07692307692307693
3873;128.68034;776.25885;897.3335;54.066677;214.73622;45.927647;0.9771176;1.1582171;1.6027238;0.45177814;1.9857274;214.73622;2.5101583;6.558162;1.1582171;0.5075659;0.45177814;1.8517901;91.21561;2.5101583;8.584944;0.5075659;0.7836222;0.0;0;-22.793397272555858;-14.25034908345117;22.895824173312175;14.25034908345117;-1.0;;;0.15384615384615385;0.15384615384615385;0.05128205128205128
3874;999.0496;32.43176;529.6103;7.9095974;434.11514;1.2162429;3.4665253;1.5655327;0.98897797;1.8574492;0.36751235;434.11514;1.2162429;9.47839;0.22699274;0.39632237;0.6312466;0.36751235;75.989624;1.2162429;2.2455714;0.39632237;0.94955415;0.0;0;-4.4647005421487025;-2.5148895800191156;7.146656716989737;6.378264131443302;-1.0389512987282155;-0.09532963337482954;-0.0396824177411272;0.4358974358974359;0.3333333333333333;0.15384615384615385
3875;418.18762;311.24692;283.99728;54.403915;868.1716;52.911976;7.5126157;0.14837433;1.9677528;1.319346;1.3290212;282.44263;52.911976;3.3306563;0.14837433;0.27326983;1.319346;1.3290212;69.03965;52.911976;0.84426427;0.27326983;0.9368002;0.0;0;-2.202368541493322;-1.7517258258831419;7.693682977470464;5.725950131348128;-1.0998508100294313;-0.2156722421206344;-0.15442120878841087;0.48717948717948717;0.38461538461538464;0.15384615384615385
3876;11.910411;880.8665;180.22008;5.5033784;839.7677;59.495163;3.5478592;1.4089264;1.774919;0.86797744;1.5502663;408.02722;54.788803;1.1787604;1.4089264;0.28148606;0.86797744;0.19049679;85.99385;14.037094;6.2572494;0.28148606;0.97252995;0.0;0;-13.701440962061453;-6.1677202778706715;15.064135662614603;6.184699848433496;-1.0;;;0.38461538461538464;0.3333333333333333;0.07692307692307693
3877;953.3995;693.51;278.86426;7.162541;819.0215;45.205738;0.41739416;1.8219564;0.55265784;0.09683387;0.16037273;277.42374;0.3772467;7.5928087;0.15162377;0.55144596;0.09683387;0.16037273;49.73125;0.3772467;3.736002;0.025182787;1.0502869;0.0;0;-5.243124558104883;-4.479271973580069;6.8774748591702135;5.181164741214786;-1.0;;;0.46153846153846156;0.358974358974359;0.10256410256410256
3878;29.780125;180.27672;782.8211;48.598072;624.1897;83.819626;1.2127689;0.8840015;0.24780262;1.2182703;0.78017586;542.8828;12.509767;2.0627906;0.8840015;0.24780262;1.2182703;0.78017586;68.2202;12.509767;6.4258676;0.24780262;1.0892656;0.0;0;-14.571890588839073;-10.410592982914267;15.140931900522572;10.410592982914267;-1.0;;;0.1794871794871795;0.1282051282051282;0.07692307692307693
3879;424.40027;495.8767;331.34488;50.03234;993.26154;64.43642;5.967497;0.036398064;1.2435095;0.7622935;0.41852874;313.05585;64.43642;0.97228605;0.036398064;1.2435095;0.7622935;0.18184765;83.34915;22.82506;1.42123;1.0359983;0.9806331;0.0;0;-3.627641569205428;-2.6433740284828957;5.155847862773025;3.662538085987194;-1.0005349415500042;-0.24503377572599536;-0.24722605112486146;0.6666666666666666;0.4358974358974359;0.1282051282051282
3880;720.3028;724.6851;697.61584;33.965576;364.3244;36.53745;5.2263064;0.50226337;0.6429198;1.5986098;0.12298787;364.3244;23.542288;6.9013143;0.50226337;0.6429198;1.3025118;0.12298787;87.67791;23.542288;4.003149;0.17517218;1.1589384;0.0;0;-6.4749348608297765;-4.418737549927187;7.640740233621368;5.940190257206069;-1.0;;;0.46153846153846156;0.3076923076923077;0.10256410256410256
3881;915.45325;937.9699;203.24881;62.21497;125.1319;71.92834;6.7518783;1.8826815;0.5148671;1.5875129;0.20760529;125.1319;35.71525;5.4670024;0.8928628;0.5148671;1.0581429;0.20760529;43.52986;14.497336;8.810349;0.47450173;0.8782168;0.0;0;-18.560588708133512;-12.981334948144536;19.365912328132953;12.981334948144536;-1.0;;;0.1794871794871795;0.15384615384615385;0.05128205128205128
3882;715.75745;637.97797;483.7186;38.797104;141.23431;32.02938;5.7217855;0.2448589;1.0947876;1.377196;0.6901353;141.23431;32.02938;4.4000773;0.2448589;1.0947876;0.19575733;0.6901353;40.25008;26.495613;2.8460195;1.0947876;0.7602915;0.0;0;-10.335147004642014;-9.494964097115457;10.618981564109728;9.494964097115457;-1.0;;;0.2564102564102564;0.1794871794871795;0.05128205128205128
