ID;x-coordinate;y-coordinate;cell_x;cell_y;municipality;purpose;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;annual_average;layer;Name
265/120-2;422526.41;5314180.73;523;234;Kirchzarten;oeffentliche Wasserversorgung;57815;110460;86325;57079;62202;0;0;30437;27215;69304;85709;146.0887671;3;
266/120-8;422507.42;5314143.74;523;235;Kirchzarten;oeffentliche Wasserversorgung;158784;183354;166400;184340;172489;240125;213344;187326;181865;151262;122734;488.6731507;3;
27/069-8;408590.92;5323828.92;245;41;March;Beregnung;849;1500;2621;1719;1475;2625;652;0;0;0;0;2.849589041;2;
273/070-1;409527.58;5308850.9;263;341;Bollschweil;Reine Beobachtungsstelle;131130;129020;112370;118480;96840;101680;90850;87050;125480;96352;98911;295.9309589;2;
276/070-8;408211.11;5308475.06;237;348;Bollschweil;Brauchwasserversorgung Industrie/Gewerbe;9291;9861;12255;9747;10431;12654;7524;4845;4959;7239;12350;25.19452055;2;
277/070-3;403657.93;5311303.94;146;292;Schallstadt;Beregnung;5972;5919;10655;6515;5775;13052;7224;9495;4026;6417;5081;19.95780822;2;
29/071-0;405226.29;5303526.07;177;447;Staufen im Breisgau;Waermepumpe (Entnahmestelle) ausgefuehrt;5500;5200;5446;6430;5870;5870;6330;5550;6850;5200;4440;15.61287671;2;
290/120-4;414708.49;5309064.82;367;337;Horben;oeffentliche Wasserversorgung;46666;54696;50360;63965;55119;57727;58288;50023;62921;42693;49914;147.539726;2;
3/070-2;404702.52;5313493.07;167;248;Schallstadt;Beregnung;9;13;22;15;9;7;7;69;54;92;33;0.082191781;2;
30/020-7;397890.23;5312620.41;31;265;Breisach am Rhein;Beregnung;25077;16647;33965;22712;16200;40006;34680;41596;36644;54105;28546;87.21753425;2;
307/070-6;404182.71;5307865.33;157;361;Ehrenkirchen;Beregnung;352;256;268;298;322;264;167;133;162;182;165;0.639726027;2;
308/070-1;405415.22;5307850.32;181;361;Ehrenkirchen;Beregnung Sport- und Freizeitanlagen;530;667;733;351;533;952;537;943;859;901;962;1.984657534;2;
31/020-2;398684.93;5308295.14;47;352;Bad Krozingen;Beregnung;10012;4307;8740;6955;18378;22925;16863;15632;7444;19844;7997;34.64438356;2;
32/071-9;404780.46;5304832.55;168;421;Staufen im Breisgau;Brauchwasserversorgung Industrie/Gewerbe;12963;5965;3983;9190;9833;12221;4484;8542;3855;8173;3776;20.66876712;2;
3209/119-1;415939.02;5322733.39;392;63;Gundelfingen;Beregnung;1940;1438;2939;2202;1338;3825;1649;3572;636;4902;2674;6.753424658;2;
3223/119-1;416490.81;5321131;403;95;Gundelfingen;oeffentliche Wasserversorgung;267571;195586;185386;202212;120599;123378;126991;104477;176254;90260;116133;425.6156164;2;
34/170-1;432171.6;5310064.44;716;317;Breitnau;oeffentliche Wasserversorgung;67602;55949;53877;58899;55737;44991;58574;49482;54722;53470;56265;151.8227397;2;
35/120-9;422445.43;5308555.02;522;347;Oberried;oeffentliche Wasserversorgung;115379;119549;117912;113549;111945;120506;129559;109262;102714;111167;103759;312.6528767;3;
353/120-2;414484.56;5307251.55;363;373;Bollschweil;oeffentliche Wasserversorgung;20565;18493;19930;18590;18200;20226;25044;20798;22576;22595;22282;57.11068493;2;
36/170-2;431002.06;5311333.93;693;291;Breitnau;Eigenwasserversorgung;1316;655;742;560;423;323;466;197;185;232;282;1.340273973;2;
380/069-0;406368.8;5323468.08;200;49;Gottenheim;oeffentliche Wasserversorgung;131420;120470;150350;147180;153330;151450;163490;171310;170250;147370;141025;410.3723288;2;
