rno,k,i,j,rlen,rwid,rgrd,rtp,rbth,rhk,man,ncon,ustrf,ndv
988,1,103,176,27.2870301878436,2.03868830378751,0.396545030052279,749.975219726562,1,1.44,0.035,2,1,0
989,1,103,175,51.5855621932248,2.06155281280883,0.448032481311279,752.45361328125,1,1.44,0.035,2,1,0
990,1,103,174,51.1336758738286,2.08041462213665,0.468736013744987,752.079956054688,1,1.44,0.035,2,1,0
991,1,103,173,50.2608084910439,2.08791163606126,0.475827867400961,752.017822265625,1,1.44,0.035,2,1,0
992,1,103,172,50.2608084910439,2.09165006633519,0.495352561735683,742.382202148438,1,1.44,0.035,2,1,0
993,1,103,171,50.2608084910439,2.10282548015759,0.498213549529259,724.972412109375,1,1.44,0.035,2,1,0
994,1,103,170,50.2608084910439,2.13965534607796,0.493823231641744,714.55517578125,1,1.44,0.035,2,1,0
995,1,103,169,51.6436628884664,2.16866894661218,0.473047580447958,709.972961425781,1,1.44,0.035,2,1,0
996,1,103,168,51.7282848129626,2.17226839962285,0.375580179579463,702.400573730469,1,1.44,0.035,2,1,0
997,1,103,167,51.7282848129626,2.35849528301415,0.254945183120706,691.497802734375,1,1.44,0.035,2,1,0
998,1,103,166,22.2864556333516,2.36841191518705,0.271887609389108,692.781616210938,1,1.44,0.035,2,1,0
999,1,104,166,30.9297015022633,2.37170824512628,0.286808240928645,681.876831054688,1,1.44,0.035,2,1,0
1000,1,104,165,55.6545203626325,2.37828719880506,0.455807204248928,687.43603515625,1,1.44,0.035,2,1,0
1001,1,104,164,38.1619997196727,2.38812164681785,0.513450795624199,690.783813476562,1,1.44,0.035,2,1,0
1002,1,105,164,15.6063935840389,2.39139080871362,0.351646521646053,661.341613769531,1,1.44,0.035,2,1,0
1003,1,105,163,53.7683933037117,2.39791576165636,0.3712471038516,658.737182617188,1,1.44,0.035,2,1,0
1004,1,105,162,53.2024800055816,2.42706097986845,0.361702605250478,652.367614746094,1,1.44,0.035,2,1,0
1005,1,105,161,50.1056431906501,2.44629822384762,0.388741277573193,645.302001953125,1,1.44,0.035,2,1,0
1006,1,105,160,50.5320054355006,2.44948974278318,0.377211459102522,636.651977539062,1,1.44,0.035,2,1,0
1007,1,105,159,51.4809214603129,2.46221445044903,0.313090921556412,624.146789550781,1,1.44,0.035,2,1,0
1008,1,105,158,51.4809214605347,3.77077578224959,0.241450358541978,615.224792480469,1,1.44,0.035,2,1,0
1009,1,105,157,50.8622729048101,3.79349772637338,0.185396585455723,608.646789550781,1,1.44,0.035,2,1,0
1010,1,105,156,50.1236822460829,3.80788655293195,0.152083077252488,602.433288574219,1,1.44,0.035,2,1,0
1011,1,105,155,50.1236822461483,3.87096564180051,0.152151586835398,596.918884277344,1,1.44,0.035,2,1,0
1012,1,105,154,50.1615223507863,3.87701560481771,0.131968589035076,592.085693359375,1,1.44,0.035,2,1,0
1013,1,105,153,50.9328592719805,3.89510911272072,0.0951402880501535,587.302307128906,1,1.44,0.035,2,1,0
1014,1,105,152,50.7534887404987,3.92109678533953,0.0848033607004482,583.047180175781,1,1.44,0.035,2,1,0
1015,1,105,151,50.0000000000005,3.92706951810125,0.126890814365549,580.079223632812,1,1.44,0.035,2,1,0
1016,1,105,150,50.0000000000005,3.97256214551768,0.168896274041119,575.533630371094,1,1.44,0.035,2,1,0
1017,1,105,149,56.3832839404195,3.98630467977549,0.186244135902948,570.884582519531,1,1.44,0.035,2,1,0
1018,1,105,148,27.8679389716437,3.99804639792987,0.255407445167135,569.187622070312,1,1.44,0.035,2,1,0
1019,1,104,148,56.8811551635015,4.01364858950058,0.0756804764113808,563.26123046875,1,1.44,0.035,2,1,0
1020,1,103,148,16.134622295466,4.01753966999705,0.154007773172671,564.708801269531,1,1.44,0.035,2,1,0
1021,1,103,147,59.1182701765082,4.01948379770338,0.138267397673633,557.299926757812,1,1.44,0.035,2,1,0
1022,1,102,147,6.79747957244352,4.14578098794425,0.118491606855722,554.839660644531,1,1.44,0.035,2,1,0
1023,1,102,146,50.924939882323,4.14766500575926,0.105193727163173,550.10400390625,1,1.44,0.035,2,1,0
1024,1,102,145,1.57797712942153,4.17582327212252,0.100110219072082,545.108581542969,1,1.44,0.035,2,1,0
1025,1,91,155,18.1333446995554,2.41091269024824,0.145449637906928,620.939819335938,1,1.44,0.035,3,1,0
1026,1,91,154,0.714180826346686,2.41738495072671,0.27492193320124,624.648376464844,1,1.44,0.035,2,1,0
1027,1,92,154,70.4384889994937,2.42061459137964,0.180526491913999,613.688293457031,1,1.44,0.035,2,1,0
1028,1,93,154,4.18150918848097,2.53414186658916,0.108731492056402,606.462768554688,1,1.44,0.035,2,1,0
1029,1,93,153,48.7747401151139,2.64575131106459,0.15351475173619,604.935241699219,1,1.44,0.035,2,1,0
1030,1,94,153,57.4093222217342,2.65459507269941,0.0945232693675523,599.321411132812,1,1.44,0.035,2,1,0
1031,1,95,153,10.1129623402833,2.66634112596269,0.186568830377072,597.947814941406,1,1.44,0.035,2,1,0
1032,1,95,152,53.1647952107326,2.68967934891875,0.128972040296706,594.294006347656,1,1.44,0.035,2,1,0
1033,1,96,152,27.6707720449159,2.71281680177634,0.078395123748267,589.173400878906,1,1.44,0.035,2,1,0
1034,1,96,151,55.0958789348523,2.72717802865893,0.300140100088742,593.027954101562,1,1.44,0.035,2,1,0
1035,1,97,151,3.43837524493688,2.73004120848019,0.208698500430398,587.536010742188,1,1.44,0.035,2,1,0
1036,1,97,150,58.5342541793049,2.73290138863443,0.34956044620812,604.152770996094,1,1.44,0.035,2,1,0
1037,1,97,149,27.7355231530619,2.73575857852991,0.346091352507342,609.918212890625,1,1.44,0.035,2,1,0
1038,1,98,149,52.5260513466417,2.73861278752583,0.345561669559648,591.334594726562,1,1.44,0.035,2,1,0
1039,1,98,148,7.91990798832885,2.75567596063108,0.289562136103492,585.379211425781,1,1.44,0.035,2,1,0
1040,1,99,148,61.197141990342,2.80345768650073,0.226475295857092,571.998596191406,1,1.44,0.035,2,1,0
1041,1,100,148,18.6776066313554,2.81458256229943,0.133324392556331,562.481628417969,1,1.44,0.035,2,1,0
1042,1,100,147,47.6119050597255,2.82012854316962,0.233653829972331,564.359008789062,1,1.44,0.035,2,1,0
1043,1,101,147,30.4260879405286,2.82289744765905,0.0976802428967023,555.659606933594,1,1.44,0.035,2,1,0
1044,1,101,146,34.457429365371,2.82842712474619,0.235149769132279,556.267028808594,1,1.44,0.035,2,1,0
1045,1,102,146,43.9979521964675,2.83118791322653,0.105193727163173,550.10400390625,1,1.44,0.035,2,1,0
1046,1,102,145,2.4310445545835,2.87228132326901,0.100110219072082,545.108581542969,1,1.44,0.035,2,1,0
1047,1,149,72,7.64599783333154,3.375,0.265562328014282,448.586395263672,1,1.44,0.035,3,1,0
1048,1,148,72,50.2346294200547,3.40036762718386,0.391911592105531,463.406188964844,1,1.44,0.035,2,1,0
1049,1,147,72,50.2346294200547,3.40266439720405,0.416300120464477,481.711395263672,1,1.44,0.035,2,1,0
1050,1,146,72,51.2905720640469,3.40725329260975,0.410060184870013,499.071807861328,1,1.44,0.035,2,1,0
1051,1,145,72,56.7101960753386,3.40954542424646,0.419916527444584,510.626190185547,1,1.44,0.035,2,1,0
1052,1,144,72,38.3487786554011,3.41412507093692,0.404325919808228,517.9013671875,1,1.44,0.035,2,1,0
1053,1,144,71,19.7913748352331,3.41641259217911,0.477944184804446,494.3671875,1,1.44,0.035,2,1,0
1054,1,143,71,60.7740077557533,3.41869858279434,0.439830324621363,490.742401123047,1,1.44,0.035,2,1,0
1055,1,143,70,3.97277436736433,3.420983045851,0.427327321822315,469.923400878906,1,1.44,0.035,2,1,0
1056,1,142,70,59.0954169266203,3.44147497448405,0.387485361130869,458.421600341797,1,1.44,0.035,2,1,0
1057,1,141,70,29.5787878892207,3.47985272676876,0.372472506946543,457.270202636719,1,1.44,0.035,2,1,0
1058,1,141,69,37.0967945238334,3.48658142024534,0.319352117894353,439.734405517578,1,1.44,0.035,2,1,0
1059,1,140,69,26.3988087493356,3.49106001094223,0.402707777306066,454.940185546875,1,1.44,0.035,2,1,0
1060,1,140,68,50.5692279582017,3.49553286352739,0.380407646564952,446.589996337891,1,1.44,0.035,2,1,0
1061,1,140,67,50.2857037538632,3.4977671449083,0.437082314089482,429.262786865234,1,1.44,0.035,2,1,0
1062,1,140,66,52.2029861279521,3.5,0.356470294171142,404.622985839844,1,1.44,0.035,2,1,0
1063,1,139,66,24.6873741519487,3.50669003477638,0.419094659114295,410.853210449219,1,1.44,0.035,2,1,0
1064,1,139,65,32.1700635949705,3.50891721190455,0.218961526464304,393.763610839844,1,1.44,0.035,2,1,0
1065,1,138,65,56.3219861115998,3.5133673306388,0.266378076762963,393.966186523438,1,1.44,0.035,2,1,0
1066,1,137,65,15.8610477988844,3.65504787930336,0.210260356029431,391.327209472656,1,1.44,0.035,2,1,0
1067,1,137,64,44.9390812808501,3.65932029207611,0.127520357004594,383.610107421875,1,1.44,0.035,2,1,0
1068,1,136,64,42.7417796990987,3.6614546289692,0.264198053707618,388.831390380859,1,1.44,0.035,2,1,0
1069,1,136,63,18.1246201502161,3.66358772243821,0.14660479665248,378.875885009766,1,1.44,0.035,2,1,0
1070,1,135,63,60.7239399517272,3.70388309750726,0.246849699132233,383.5390625,1,1.44,0.035,2,1,0
1071,1,135,62,5.3978137979319,3.71020551991396,0.134705911826509,375.309875488281,1,1.44,0.035,2,1,0
1072,1,134,62,66.6236131206113,3.71651718682962,0.248219685663104,377.992980957031,1,1.44,0.035,2,1,0
1073,1,133,62,3.63144478802012,3.72281815295886,0.413960186943282,386.581604003906,1,1.44,0.035,2,1,0
1074,1,133,61,63.161221421274,3.72910847254407,0.249973183066976,370.837585449219,1,1.44,0.035,2,1,0
1075,1,132,61,12.2491656525262,3.73329613076702,0.430813265488746,379.451995849609,1,1.44,0.035,2,1,0
1076,1,132,60,56.6824535714202,3.73747909693151,0.239666782453829,364.465881347656,1,1.44,0.035,2,1,0
1077,1,131,60,14.3511926424922,3.7395688254129,0.365244045234425,377.392303466797,1,1.44,0.035,2,1,0
1078,1,131,59,61.8611464672739,3.74791608764124,0.244424378344747,363.755798339844,1,1.44,0.035,2,1,0
1079,1,130,59,4.38971026931544,3.79143772202577,0.252956620596488,373.049621582031,1,1.44,0.035,2,1,0
1080,1,130,58,57.7883172918117,3.82222121285516,0.278993017236764,364.399108886719,1,1.44,0.035,2,1,0
1081,1,130,57,41.2136052597987,3.83038836151114,0.207616997181056,355.493438720703,1,1.44,0.035,2,1,0
1082,1,129,57,14.8817075521517,3.83242742918897,0.390241477973046,368.796203613281,1,1.44,0.035,2,1,0
1083,1,129,56,55.3052390931121,3.8365023133057,0.310097991811152,355.570770263672,1,1.44,0.035,2,1,0
1084,1,129,55,52.4880112511897,3.84870107958516,0.224436742911232,348.078491210938,1,1.44,0.035,2,1,0
1085,1,129,54,12.9094168654046,3.85073045018734,0.147559610626105,343.600006103516,1,1.44,0.035,2,1,0
1086,1,128,54,40.9095640280804,3.85275875185561,0.285963568366666,358.151092529297,1,1.44,0.035,2,1,0
1087,1,128,53,56.7876674831212,3.87903016229572,0.249900653870021,342.990081787109,1,1.44,0.035,2,1,0
1088,1,128,52,13.4023848924456,4.47737367214308,0.0627691643462053,335.631805419922,1,1.44,0.035,2,1,0
1089,1,127,52,52.6943346259524,4.48086208223373,0.258690310483553,338.701293945312,1,1.44,0.035,2,1,0
1090,1,127,51,22.0093023487059,4.48608961123159,0.0676142689948188,332.549926757812,1,1.44,0.035,2,1,0
1091,1,126,51,43.1344944522959,4.49131105580542,0.309780807311889,335.8193359375,1,1.44,0.035,2,1,0
1092,1,126,50,36.6366373466328,4.5,0.0803207424731912,329.546508789062,1,1.44,0.035,2,1,0
1093,1,125,50,23.5655009688642,4.50693909432998,0.328376875989943,335.939392089844,1,1.44,0.035,2,1,0
1094,1,125,49,52.523212634281,4.51386752131694,0.185408004318123,327.8251953125,1,1.44,0.035,2,1,0
1095,1,125,48,38.5341551075387,4.6519485164821,0.0554367097551785,324.931213378906,1,1.44,0.035,2,1,0
1096,1,124,48,29.2833012234238,4.65530611238402,0.281002610550993,332.193695068359,1,1.44,0.035,2,1,0
1097,1,124,47,42.9158873105041,4.65866128839605,0.133776213933301,322.955291748047,1,1.44,0.035,2,1,0
1098,1,123,47,25.2706571974903,4.66033797057681,0.274312101144858,330.1494140625,1,1.44,0.035,2,1,0
1099,1,123,46,51.8308188719489,4.66703867564862,0.146236012883902,320.600402832031,1,1.44,0.035,2,1,0
1100,1,122,46,13.5565105491722,4.66871234924577,0.218787961000411,328.150207519531,1,1.44,0.035,2,1,0
1101,1,122,45,64.0329831024286,4.67874181805322,0.140840000862155,318.919006347656,1,1.44,0.035,2,1,0
1102,1,121,45,1.35434631869252,4.68041130671226,0.188771988755418,323.255218505859,1,1.44,0.035,2,1,0
1103,1,121,44,64.9842895241359,4.69208109478086,0.113609568185342,315.371063232422,1,1.44,0.035,2,1,0
1104,1,120,44,12.4865628560956,4.69374583887964,0.159825789039597,319.124603271484,1,1.44,0.035,2,1,0
1105,1,120,43,51.3834522597347,4.702060718451,0.0932586407926763,311.889953613281,1,1.44,0.035,2,1,0
1106,1,119,43,28.9735759110066,4.70870205045934,0.147509087798304,312.257629394531,1,1.44,0.035,2,1,0
1107,1,119,42,32.6342409645122,4.71036092035419,0.0510764249673181,307.976501464844,1,1.44,0.035,2,1,0
1108,1,118,42,56.5910594687002,4.7136769087412,0.131498202510244,308.952880859375,1,1.44,0.035,2,1,0
1109,1,117,42,12.5851085806976,4.71864652204422,0.15466813523256,312.709594726562,1,1.44,0.035,2,1,0
1110,1,117,41,44.0059508879753,4.7203018971248,0.103231726709707,304.444793701172,1,1.44,0.035,2,1,0
