c1;c2;c3;c4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
1.0;1.0;1.0;1.0;1.0;5.0;0;5.257379663840051;9.922722812179927;14.775935839596924;13.441944328463535;-4.602822925045033;0.2796547089544725;0.3224407548678496;0.10256410256410256
1.0;1.0;1.0;1.0;1.0;10.0;0;3.0231493465773713;7.803255096377711;14.232807728434077;14.947083696268265;-3.982732087077262;0.2796547089544725;0.33655381124033984;0.07692307692307693
1.0;1.0;1.0;1.0;1.0;20.0;0;-3.497497400835425;0.8936353845047336;12.315240736405613;10.46411726484638;-2.0943295214585698;0.27070471061478374;0.27263842515624087;0.3333333333333333
4.3899384;32.21738;16.20145;16.20145;0.8291974;0.0;0;-29.2143733974076;-11.329250255092632;32.09547523144726;11.868841667892696;-1.9620525960299513;0.4408995543585866;0.31029871164195655;0.1794871794871795
15.437407;59.20437;59.20437;59.20437;1.0965036;0.0;0;-38.49649859654085;-19.932187446622407;38.49649859654085;19.932187446622407;-1.0;;;0.07692307692307693
68.30807;2.5629284;2.5629284;2.5629284;0.89005446;0.0;0;-22.991437362348297;-15.312908694807504;23.60984241484772;15.312908694807504;-1.1968059558783601;0.20179252118611385;0.1896794239062452;0.10256410256410256
74.47877;0.75556856;0.75556856;0.75556856;0.8383716;0.0;0;11.03738417607333;14.768360551652165;19.028153022164158;16.883574535653906;-6.149211918393687;0.020414891421468323;0.06559581196496474;0.10256410256410256
96.7513;85.165665;75.13636;47.389725;1.0016954;0.0;0;-34.60666607497736;-18.11424432631341;35.040744567016894;18.11424432631341;-1.1305016997562087;0.20179252118611385;0.18967942390624515;0.07692307692307693
32.58928;4.6519403;4.6519403;4.6519403;1.1252079;0.0;0;-26.446530801426487;-15.925089900729404;27.016387510974035;15.925089900729404;-1.1793425921756142;0.20179252118611385;0.18967942390624515;0.10256410256410256
37.052265;52.48427;11.061514;11.061514;0.8847993;0.0;0;-29.12492312783993;-12.252056165162372;29.664108698472983;12.252056165162372;-1.1348007368775939;0.20179252118611385;0.18967942390624515;0.2564102564102564
46.960884;61.502625;61.502625;61.502625;1.1110195;0.0;0;-36.0250740191632;-19.588148123626013;36.35938116908551;19.588148123626013;-1.0946128696012605;0.20179252118611385;0.18967942390624518;0.02564102564102564
18.95524;19.825142;19.825142;0.8820082;0.98098755;0.0;0;-31.013606497033845;-16.686914141671707;31.53271761828982;16.686914141671707;-1.139876297757893;0.20179252118611385;0.18967942390624515;0.07692307692307693
13.000852;89.57413;89.57413;86.914345;0.95188636;0.0;0;-36.42547544418614;-19.59066449540731;36.72242898813631;19.59066449540731;-1.0811763737903275;0.20179252118611385;0.18967942390624515;0.02564102564102564
47.575737;19.017675;19.017675;5.5682526;0.92976046;0.0;0;-35.45440595129938;-20.2020551387333;35.45440595129938;20.2020551387333;-1.0;;;0.05128205128205128
22.698666;88.45265;52.283905;39.17193;0.8227905;0.0;0;-33.2992400417697;-17.44093744524767;33.53564574728532;17.44093744524767;-1.0593966618638986;0.20179252118611385;0.18967942390624515;0.05128205128205128
