model_run;c1;c2;c3;c4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
2686;23.886145;49.73363;49.73363;26.22249;0.98022497;0.0;0;-50.126733849769394;-17.54781230415165;50.827873785875255;17.54781230415165;-1.2278173695041308;0.20044593143431833;0.18531554452469942;0.07317073170731707
2687;67.14364;67.32527;29.651474;24.511993;1.2190068;0.0;0;-47.932428436352616;-15.133019321209673;48.3448598607217;15.133019321209673;-1.1239657972777508;0.20044593143431833;0.18531554452469937;0.12195121951219512
2688;25.519915;37.410866;14.592818;14.592818;0.82789177;0.0;0;-46.369841877980534;-13.374453594550204;47.33129979921072;13.570410430805879;-1.3015156253898699;0.29632806532566497;0.2020975835858276;0.12195121951219512
2689;51.119267;36.86863;36.86863;27.953814;1.1184547;0.0;0;-50.78003116077895;-18.277382829261995;51.2653640280866;18.277382829261995;-1.150189234270302;0.20044593143431833;0.18531554452469937;0.07317073170731707
2690;94.86516;3.1813982;3.1813982;0.5837116;1.1039945;0.0;0;-23.708194842345808;-13.72337495742471;27.565496234495846;15.03354835614482;-2.350233879997926;0.5435192834392991;0.3739217705074343;0.21951219512195122
2691;38.13694;42.384705;42.384705;1.9558693;1.0907645;0.0;0;-49.0266255786551;-17.427696912826207;49.452417110234805;17.427696912826207;-1.1091563496121317;0.20044593143431833;0.18531554452469937;0.04878048780487805
2692;87.57509;40.841335;40.841335;40.841335;1.0814286;0.0;0;-52.226708640092255;-19.5837857231233;52.43430695210043;19.5837857231233;-1.0502851127882817;0.20044593143431833;0.18531554452469942;0.04878048780487805
2693;98.69459;22.486862;22.486862;22.486862;0.7611541;0.0;0;-51.70161195382863;-19.93661925673692;51.95676425317177;19.93661925673692;-1.06739079602796;0.20044593143431833;0.18531554452469937;0.024390243902439025
2694;87.486336;24.739855;24.739855;24.739855;1.1210611;0.0;0;-51.421469970209685;-19.583155759753254;51.64278575537128;19.583155759753254;-1.055219436149192;0.20044593143431833;0.18531554452469937;0.04878048780487805
2695;16.594944;58.418118;58.418118;58.418118;0.99984217;0.0;0;-52.498372304844885;-19.9370018181707;52.79060223467017;19.9370018181707;-1.0807280204722125;0.20044593143431833;0.18531554452469937;0.024390243902439025
2696;81.96763;31.783966;31.783966;31.783966;1.0120931;0.0;0;-51.87191334146366;-19.666400759677515;52.132439526560475;19.666400759677515;-1.0693238408181145;0.20044593143431833;0.18531554452469942;0.024390243902439025
2697;3.224618;83.026886;75.1503;75.1503;0.77543634;0.0;0;-52.41361390164915;-18.863716929713007;52.71968280275808;18.863716929713007;-1.0857060480237957;0.20044593143431833;0.18531554452469942;0.024390243902439025
2698;39.336254;11.147397;11.147397;11.147397;0.84419054;0.0;0;-49.73552326471905;-19.2786000761881;50.071832120545814;19.2786000761881;-1.096583686589456;0.20044593143431833;0.18531554452469937;0.024390243902439025
2699;87.07463;57.76872;53.996204;47.714878;1.2055035;0.0;0;-51.80285944491884;-19.205729876890643;52.01477058025657;19.205729876890643;-1.0518364819558021;0.20044593143431833;0.18531554452469937;0.04878048780487805
2700;68.878334;16.012873;16.012873;16.012873;0.9077642;0.0;0;-50.761570577657984;-19.58493911925902;51.040229098616024;19.58493911925902;-1.0758462380138063;0.20044593143431833;0.18531554452469942;0.024390243902439025
2701;53.278717;52.82878;52.82878;52.82878;0.9469401;0.0;0;-52.68656493335555;-19.936135151222032;52.8478115231544;19.936135151222032;-1.0336118973091781;0.20044593143431833;0.18531554452469937;0.04878048780487805
2702;38.792522;55.259064;55.259064;20.068731;0.84460175;0.0;0;-50.550382091211226;-19.376469640361336;50.833934178496335;19.376469640361336;-1.0776065067145895;0.20044593143431833;0.18531554452469942;0.024390243902439025
2703;81.231575;64.233345;64.233345;1.7607664;1.0660954;0.0;0;-49.71058788250812;-17.840155034619613;50.12198423529763;17.840155034619613;-1.1014723625410165;0.20044593143431833;0.18531554452469942;0.04878048780487805
2704;70.95875;42.748222;38.219646;38.219646;1.1203505;0.0;0;-50.9340172336777;-18.73213053017946;51.32566944352327;18.73213053017946;-1.1164912892180021;0.20044593143431833;0.18531554452469937;0.024390243902439025
2705;46.845848;50.952374;50.952374;40.36467;1.2106309;0.0;0;-51.42120800421821;-19.392066924714385;51.81563695523514;19.392066924714385;-1.1174901130302115;0.20044593143431833;0.18531554452469937;0.024390243902439025
