per,nseg,icalc,outseg,iupseg,iprior,nstrpts,flow,runoff,etsw,pptsw,roughch,roughbk,cdpth,fdpth,awdth,bwdth,hcond1,thickm1,elevup,width1,depth1,thts1,thti1,eps1,uhc1,hcond2,thickm2,elevdn,width2,depth2,thts2,thti2,eps2,uhc2
0,93,1,239,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.62187,1.0,0.0,0.0,0.0,0.0,0.0
0,94,1,239,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.10167,12.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.17375,1.0,0.0,0.0,0.0,0.0,0.0
0,95,1,239,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.66248,35.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.56175,11.62,0.0,0.0,0.0,0.0,0.0
0,96,1,239,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.31,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.24,11.62,0.0,0.0,0.0,0.0,0.0
0,97,1,239,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.37,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.1931,10.72,0.0,0.0,0.0,0.0,0.0
0,98,1,239,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.70996,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.25998,10.37,0.0,0.0,0.0,0.0,0.0
0,99,1,242,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.69,1.0,0.0,0.0,0.0,0.0,0.0
0,100,1,243,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.20001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.33702,1.0,0.0,0.0,0.0,0.0,0.0
0,101,1,245,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.56998,20.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.44998,19.66,0.0,0.0,0.0,0.0,0.0
0,102,1,246,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.14,14.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.34998,13.75,0.0,0.0,0.0,0.0,0.0
0,103,1,251,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.5625,17.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.72,13.75,0.0,0.0,0.0,0.0,0.0
0,104,1,258,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134.28,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.01,3.85,0.0,0.0,0.0,0.0,0.0
