;[m3/s]
;Q
2016-02-05;4.331
2016-02-06;3.724
2016-02-07;3.448
2016-02-08;3.443
2016-02-09;4.513
2016-02-10;4.368
2016-02-11;3.596
2016-02-12;3.135
2016-02-13;3.123
2016-02-14;3.431
2016-02-15;2.915
2016-02-16;2.57
2016-02-17;2.303
2016-02-18;2.104
2016-02-19;1.956
2016-02-20;2.059
2016-02-21;3.492
2016-02-22;3.348
2016-02-23;4.608
2016-02-24;4.093
2016-02-25;3.45
2016-02-26;2.991
2016-02-27;2.68
2016-02-28;2.394
2016-02-29;2.153
2016-03-01;1.945
2016-03-02;2.997
2016-03-03;2.791
2016-03-04;2.543
2016-03-05;3.215
2016-03-06;2.738
2016-03-07;2.394
2016-03-08;2.093
2016-03-09;1.917
2016-03-10;1.732
2016-03-11;1.653
2016-03-12;1.566
2016-03-13;1.468
2016-03-14;1.468
2016-03-15;1.374
2016-03-16;1.31
2016-03-17;1.203
2016-03-18;1.304
2016-03-19;1.46
2016-03-20;1.576
2016-03-21;1.38
2016-03-22;1.239
2016-03-23;1.235
2016-03-24;1.188
2016-03-25;1.401
2016-03-26;1.854
2016-03-27;1.816
2016-03-28;1.737
2016-03-29;2.022
2016-03-30;2.493
2016-03-31;2.704
2016-04-01;2.82
2016-04-02;2.657
2016-04-03;2.855
2016-04-04;2.913
2016-04-05;2.849
2016-04-06;3.148
2016-04-07;2.692
2016-04-08;2.304
2016-04-09;2.01
2016-04-10;1.831
2016-04-11;1.827
2016-04-12;2.296
2016-04-13;2.764
2016-04-14;2.491
2016-04-15;3.45
2016-04-16;4.955
2016-04-17;12.797
2016-04-18;9.167
2016-04-19;6.33
2016-04-20;4.709
2016-04-21;3.92
2016-04-22;3.461
2016-04-23;3.343
2016-04-24;2.961
2016-04-25;2.72
2016-04-26;2.808
2016-04-27;2.622
2016-04-28;2.388
2016-04-29;2.287
2016-04-30;2.772
2016-05-01;3.722
2016-05-02;3.738
2016-05-03;3.34
2016-05-04;3.015
2016-05-05;2.52
2016-05-06;2.209
2016-05-07;1.943
2016-05-08;1.753
2016-05-09;1.559
2016-05-10;1.919
2016-05-11;2.022
2016-05-12;2.227
2016-05-13;2.785
2016-05-14;3.046
2016-05-15;2.971
2016-05-16;2.822
2016-05-17;2.55
2016-05-18;2.138
2016-05-19;2.258
2016-05-20;1.917
2016-05-21;1.752
2016-05-22;1.65
2016-05-23;2.317
2016-05-24;2.718
2016-05-25;2.17
2016-05-26;1.931
2016-05-27;1.772
2016-05-28;1.636
2016-05-29;1.745
2016-05-30;2.73
2016-05-31;2.104
2016-06-01;1.854
2016-06-02;2.061
2016-06-03;2.693
2016-06-04;3.903
2016-06-05;3.389
2016-06-06;3.526
2016-06-07;2.904
2016-06-08;5.158
2016-06-09;6.048
2016-06-10;4.53
2016-06-11;3.779
2016-06-12;4.209
2016-06-13;4.397
2016-06-14;4.181
2016-06-15;4.534
2016-06-16;4.299
2016-06-17;4.8
2016-06-18;4.166
2016-06-19;4.118
2016-06-20;3.449
2016-06-21;3.494
