;[m3/s]
;Q
2015-06-22;0.625
2015-06-23;0.675
2015-06-24;0.549
2015-06-25;0.462
2015-06-26;0.473
2015-06-27;0.473
2015-06-28;0.441
2015-06-29;0.388
2015-06-30;0.373
2015-07-01;0.361
2015-07-02;0.344
2015-07-03;0.317
2015-07-04;0.312
2015-07-05;0.298
2015-07-06;0.29
2015-07-07;0.282
2015-07-08;0.308
2015-07-09;0.297
2015-07-10;0.275
2015-07-11;0.257
2015-07-12;0.257
2015-07-13;0.262
2015-07-14;0.287
2015-07-15;0.317
2015-07-16;0.317
2015-07-17;0.307
2015-07-18;0.302
2015-07-19;0.317
2015-07-20;0.317
2015-07-21;0.32
2015-07-22;0.34
2015-07-23;0.806
2015-07-24;0.361
2015-07-25;0.317
2015-07-26;0.317
2015-07-27;0.4
2015-07-28;0.338
2015-07-29;0.367
2015-07-30;0.388
2015-07-31;0.364
2015-08-01;0.317
2015-08-02;0.317
2015-08-03;0.3
2015-08-04;0.28
2015-08-05;0.285
2015-08-06;0.257
2015-08-07;0.247
2015-08-08;0.233
2015-08-09;0.247
2015-08-10;0.312
2015-08-11;0.257
2015-08-12;0.26
2015-08-13;0.265
2015-08-14;0.257
2015-08-15;0.257
2015-08-16;0.343
2015-08-17;0.3
2015-08-18;0.257
2015-08-19;0.257
2015-08-20;0.257
2015-08-21;0.245
2015-08-22;0.239
2015-08-23;0.324
2015-08-24;0.507
2015-08-25;0.384
2015-08-26;0.282
2015-08-27;0.247
2015-08-28;0.229
2015-08-29;0.227
2015-08-30;0.209
2015-08-31;0.209
2015-09-01;0.229
2015-09-02;0.27
2015-09-03;0.239
2015-09-04;0.209
2015-09-05;0.209
2015-09-06;0.249
2015-09-07;0.239
2015-09-08;0.209
2015-09-09;0.209
2015-09-10;0.209
2015-09-11;0.209
2015-09-12;0.217
2015-09-13;0.249
2015-09-14;0.451
2015-09-15;0.304
2015-09-16;0.313
2015-09-17;0.818
2015-09-18;0.393
2015-09-19;0.311
2015-09-20;0.329
2015-09-21;0.28
2015-09-22;0.374
2015-09-23;0.949
2015-09-24;0.543
2015-09-25;0.358
2015-09-26;0.317
2015-09-27;0.297
2015-09-28;0.27
2015-09-29;0.257
2015-09-30;0.257
2015-10-01;0.257
2015-10-02;0.257
2015-10-03;0.257
2015-10-04;0.36
2015-10-05;0.257
2015-10-06;0.318
2015-10-07;0.364
2015-10-08;0.302
2015-10-09;0.257
2015-10-10;0.257
2015-10-11;0.257
2015-10-12;0.257
2015-10-13;0.257
2015-10-14;0.257
2015-10-15;0.265
2015-10-16;0.257
2015-10-17;0.257
2015-10-18;0.257
2015-10-19;0.257
2015-10-20;0.257
2015-10-21;0.257
2015-10-22;0.257
2015-10-23;0.257
2015-10-24;0.257
2015-10-25;0.257
2015-10-26;0.257
2015-10-27;0.257
2015-10-28;0.257
2015-10-29;0.414
2015-10-30;0.3
2015-10-31;0.257
2015-11-01;0.257
2015-11-02;0.257
2015-11-03;0.257
2015-11-04;0.249
2015-11-05;0.257
2015-11-06;0.257
2015-11-07;0.257
2015-11-08;0.257
2015-11-09;0.257
2015-11-10;0.26
2015-11-11;0.257
2015-11-12;0.257
2015-11-13;0.239
2015-11-14;0.209
2015-11-15;0.209
2015-11-16;0.209
2015-11-17;0.211
2015-11-18;0.211
2015-11-19;0.217
2015-11-20;2.491
2015-11-21;2.604
2015-11-22;1.071
2015-11-23;0.725
2015-11-24;0.574
2015-11-25;0.903
2015-11-26;1.036
2015-11-27;0.823
2015-11-28;0.663
2015-11-29;0.736
2015-11-30;3.159
2015-12-01;3.325
2015-12-02;2.121
2015-12-03;1.487
2015-12-04;1.098
2015-12-05;0.908
2015-12-06;0.83
2015-12-07;0.686
2015-12-08;0.667
2015-12-09;0.983
2015-12-10;0.751
2015-12-11;0.686
2015-12-12;0.644
2015-12-13;0.574
2015-12-14;0.574
2015-12-15;0.574
2015-12-16;0.728
2015-12-17;0.686
2015-12-18;0.602
2015-12-19;0.574
2015-12-20;0.574
2015-12-21;0.66
2015-12-22;0.583
2015-12-23;0.532
2015-12-24;0.473
2015-12-25;0.473
2015-12-26;0.473
2015-12-27;0.473
2015-12-28;0.473
2015-12-29;0.434
