;[m3/s]
;Q
2014-09-20;0.368
2014-09-21;1.927
2014-09-22;1.696
2014-09-23;0.931
2014-09-24;0.68
2014-09-25;0.65
2014-09-26;0.562
2014-09-27;0.517
2014-09-28;0.461
2014-09-29;0.453
2014-09-30;0.453
2014-10-01;0.461
2014-10-02;0.453
2014-10-03;0.392
2014-10-04;0.392
2014-10-05;0.377
2014-10-06;0.448
2014-10-07;0.481
2014-10-08;0.607
2014-10-09;0.488
2014-10-10;0.594
2014-10-11;0.528
2014-10-12;0.504
2014-10-13;0.474
2014-10-14;0.446
2014-10-15;0.47
2014-10-16;0.852
2014-10-17;1.957
2014-10-18;0.938
2014-10-19;0.797
2014-10-20;0.81
2014-10-21;1.912
2014-10-22;1.525
2014-10-23;1.391
2014-10-24;1.39
2014-10-25;1.079
2014-10-26;0.96
2014-10-27;0.856
2014-10-28;0.763
2014-10-29;0.704
2014-10-30;0.669
2014-10-31;0.654
2014-11-01;0.594
2014-11-02;0.528
2014-11-03;0.531
2014-11-04;0.497
2014-11-05;1.115
2014-11-06;1.419
2014-11-07;0.955
2014-11-08;0.789
2014-11-09;0.719
2014-11-10;0.672
2014-11-11;0.66
2014-11-12;0.628
2014-11-13;1.032
2014-11-14;0.821
2014-11-15;0.837
2014-11-16;2.518
2014-11-17;1.728
2014-11-18;1.607
2014-11-19;1.328
2014-11-20;1.165
2014-11-21;1.066
2014-11-22;0.954
2014-11-23;0.888
2014-11-24;0.811
2014-11-25;0.779
2014-11-26;0.734
2014-11-27;0.672
2014-11-28;0.66
2014-11-29;0.618
2014-11-30;0.588
2014-12-01;0.661
2014-12-02;0.588
2014-12-03;0.588
2014-12-04;0.568
2014-12-05;0.515
2014-12-06;0.519
2014-12-07;0.493
2014-12-08;0.465
2014-12-09;0.454
2014-12-10;0.465
2014-12-11;0.697
2014-12-12;0.708
2014-12-13;0.636
2014-12-14;0.755
2014-12-15;1.031
2014-12-16;0.972
2014-12-17;1.083
2014-12-18;1.812
2014-12-19;1.684
2014-12-20;1.915
2014-12-21;1.492
2014-12-22;1.323
2014-12-23;1.169
2014-12-24;1.021
2014-12-25;1.042
2014-12-26;0.951
2014-12-27;0.947
2014-12-28;0.885
2014-12-29;0.77
2014-12-30;0.801
2014-12-31;0.725
2015-01-01;0.688
2015-01-02;1.223
2015-01-03;3.027
2015-01-04;5.606
2015-01-05;3.064
2015-01-06;2.317
2015-01-07;1.959
2015-01-08;1.854
2015-01-09;2.195
2015-01-10;2.42
2015-01-11;2.764
2015-01-12;2.239
2015-01-13;1.99
2015-01-14;3.002
2015-01-15;2.459
2015-01-16;2.233
2015-01-17;2.351
2015-01-18;2.075
2015-01-19;1.841
2015-01-20;1.698
2015-01-21;1.564
2015-01-22;1.455
2015-01-23;1.346
2015-01-24;1.264
2015-01-25;1.183
2015-01-26;1.126
2015-01-27;1.109
2015-01-28;0.97
2015-01-29;1.051
2015-01-30;1.133
2015-01-31;1.014
2015-02-01;0.961
2015-02-02;0.937
2015-02-03;0.882
2015-02-04;0.815
2015-02-05;0.825
2015-02-06;0.796
2015-02-07;0.723
2015-02-08;0.726
2015-02-09;0.717
2015-02-10;0.699
2015-02-11;0.701
2015-02-12;0.737
2015-02-13;0.74
2015-02-14;0.792
2015-02-15;0.821
2015-02-16;0.811
2015-02-17;0.773
2015-02-18;0.734
2015-02-19;0.734
2015-02-20;0.756
2015-02-21;0.875
2015-02-22;0.824
2015-02-23;1.427
2015-02-24;1.816
2015-02-25;1.366
2015-02-26;1.226
2015-02-27;1.449
2015-02-28;1.499
2015-03-01;1.864
2015-03-02;5.841
2015-03-03;3.754
2015-03-04;2.909
2015-03-05;2.346
2015-03-06;1.986
2015-03-07;1.754
2015-03-08;1.664
2015-03-09;1.763
2015-03-10;1.85
2015-03-11;2.125
2015-03-12;2.061
2015-03-13;1.868
2015-03-14;1.741
2015-03-15;1.63
2015-03-16;1.644
2015-03-17;1.711
2015-03-18;1.887
2015-03-19;1.954
2015-03-20;1.855
2015-03-21;1.732
2015-03-22;1.639
2015-03-23;1.522
2015-03-24;1.516
2015-03-25;1.467
2015-03-26;1.54
2015-03-27;1.411
2015-03-28;1.29
2015-03-29;1.853
2015-03-30;5.969
2015-03-31;3.57
2015-04-01;2.839
2015-04-02;2.811
2015-04-03;2.946
2015-04-04;3.472
2015-04-05;3.065
2015-04-06;2.424
2015-04-07;2.032
2015-04-08;1.819
2015-04-09;1.664
2015-04-10;1.564
2015-04-11;1.507
2015-04-12;1.385
2015-04-13;1.319
2015-04-14;1.245
2015-04-15;1.143
2015-04-16;1.087
2015-04-17;1.236
2015-04-18;1.208
2015-04-19;1.014
2015-04-20;0.933
2015-04-21;0.891
2015-04-22;0.828
2015-04-23;0.744
2015-04-24;0.734
2015-04-25;0.734
2015-04-26;0.734
2015-04-27;0.777
2015-04-28;1.21
2015-04-29;0.862
2015-04-30;0.751
2015-05-01;3.509
2015-05-02;4.33
2015-05-03;4.913
2015-05-04;3.718
2015-05-05;2.803
2015-05-06;2.225
2015-05-07;1.776
2015-05-08;1.548
2015-05-09;1.373
2015-05-10;1.201
2015-05-11;1.119
2015-05-12;1.021
2015-05-13;0.961
2015-05-14;1.155
2015-05-15;1.956
2015-05-16;1.54
2015-05-17;1.141
2015-05-18;0.996
2015-05-19;0.891
2015-05-20;0.94
2015-05-21;0.888
2015-05-22;0.811
2015-05-23;0.744
2015-05-24;0.734
2015-05-25;0.966
2015-05-26;1.534
2015-05-27;1.035
2015-05-28;0.854
2015-05-29;0.785
2015-05-30;0.734
2015-05-31;0.734
2015-06-01;0.706
2015-06-02;0.618
2015-06-03;0.588
2015-06-04;0.588
2015-06-05;0.588
2015-06-06;0.588
2015-06-07;0.588
2015-06-08;0.563
2015-06-09;0.519
2015-06-10;0.519
2015-06-11;0.528
2015-06-12;0.517
2015-06-13;0.47
2015-06-14;0.525
2015-06-15;1.025
2015-06-16;0.749
2015-06-17;0.675
2015-06-18;0.814
2015-06-19;1.085
2015-06-20;0.846
2015-06-21;0.734
2015-06-22;0.752
2015-06-23;2.097
2015-06-24;1.091
2015-06-25;0.879
2015-06-26;0.744
2015-06-27;0.666
2015-06-28;0.642
2015-06-29;0.588
2015-06-30;0.559
2015-07-01;0.519
2015-07-02;0.519
2015-07-03;0.519
2015-07-04;0.465
2015-07-05;0.454
2015-07-06;0.435
2015-07-07;0.389
2015-07-08;0.427
2015-07-09;0.389
2015-07-10;0.334
2015-07-11;0.331
2015-07-12;0.331
2015-07-13;0.331
2015-07-14;0.326
2015-07-15;0.299
2015-07-16;0.272
2015-07-17;0.272
2015-07-18;0.272
2015-07-19;0.272
2015-07-20;0.252
2015-07-21;0.225
2015-07-22;0.227
2015-07-23;0.704
2015-07-24;0.337
2015-07-25;0.274
2015-07-26;0.272
2015-07-27;0.299
2015-07-28;0.272
2015-07-29;0.272
2015-07-30;0.272
2015-07-31;0.272
2015-08-01;0.245
