;[m3/s]
;Q
2014-12-17;0.653
2014-12-18;0.905
2014-12-19;0.875
2014-12-20;0.829
2014-12-21;0.684
2014-12-22;0.588
2014-12-23;0.525
2014-12-24;0.46
2014-12-25;0.473
2014-12-26;0.443
2014-12-27;0.491
2014-12-28;0.495
2014-12-29;0.373
2014-12-30;0.362
2014-12-31;0.344
2015-01-01;0.344
2015-01-02;0.728
2015-01-03;1.273
2015-01-04;2.293
2015-01-05;1.68
2015-01-06;1.216
2015-01-07;0.947
2015-01-08;0.751
2015-01-09;0.642
2015-01-10;0.602
2015-01-11;1.67
2015-01-12;1.234
2015-01-13;1.082
2015-01-14;1.096
2015-01-15;0.949
2015-01-16;1.206
2015-01-17;3.116
2015-01-18;2.633
2015-01-19;1.915
2015-01-20;1.497
2015-01-21;1.126
2015-01-22;0.919
2015-01-23;0.741
2015-01-24;0.656
2015-01-25;0.635
2015-01-26;0.675
2015-01-27;0.943
2015-01-28;0.812
2015-01-29;0.936
2015-01-30;1.233
2015-01-31;1.125
2015-02-01;0.928
2015-02-02;0.797
2015-02-03;0.738
2015-02-04;0.656
2015-02-05;0.637
2015-02-06;0.532
2015-02-07;0.487
2015-02-08;0.464
2015-02-09;0.43
2015-02-10;0.432
2015-02-11;0.43
2015-02-12;0.434
2015-02-13;0.495
2015-02-14;0.848
2015-02-15;1.003
2015-02-16;0.955
2015-02-17;0.807
2015-02-18;0.681
2015-02-19;0.627
2015-02-20;0.602
2015-02-21;0.798
2015-02-22;0.72
2015-02-23;1.094
2015-02-24;1.297
2015-02-25;1.185
2015-02-26;1.004
2015-02-27;2.143
2015-02-28;2.627
2015-03-01;2.326
2015-03-02;2.11
2015-03-03;1.67
2015-03-04;1.312
2015-03-05;1.01
2015-03-06;0.841
2015-03-07;0.736
2015-03-08;0.679
2015-03-09;0.637
2015-03-10;0.602
2015-03-11;0.566
2015-03-12;0.516
2015-03-13;0.505
2015-03-14;0.473
2015-03-15;0.432
2015-03-16;0.43
2015-03-17;0.405
2015-03-18;0.373
2015-03-19;0.344
2015-03-20;0.329
2015-03-21;0.305
2015-03-22;0.305
2015-03-23;0.301
2015-03-24;0.283
2015-03-25;0.298
2015-03-26;0.338
2015-03-27;0.293
2015-03-28;0.27
2015-03-29;0.273
2015-03-30;0.578
2015-03-31;0.382
2015-04-01;0.367
2015-04-02;0.467
2015-04-03;0.487
2015-04-04;1.08
2015-04-05;1.254
2015-04-06;1.023
2015-04-07;0.778
2015-04-08;0.641
2015-04-09;0.572
2015-04-10;0.502
2015-04-11;0.475
2015-04-12;0.414
2015-04-13;0.373
2015-04-14;0.333
2015-04-15;0.31
2015-04-16;0.305
2015-04-17;0.572
2015-04-18;0.505
2015-04-19;0.374
2015-04-20;0.333
2015-04-21;0.295
2015-04-22;0.27
2015-04-23;0.27
2015-04-24;0.26
2015-04-25;0.271
2015-04-26;0.275
2015-04-27;0.356
2015-04-28;0.962
2015-04-29;0.555
2015-04-30;0.475
2015-05-01;2.205
2015-05-02;3.779
2015-05-03;3.053
2015-05-04;2.191
2015-05-05;1.558
2015-05-06;1.079
2015-05-07;0.784
2015-05-08;0.647
2015-05-09;0.563
2015-05-10;0.473
2015-05-11;0.412
2015-05-12;0.364
2015-05-13;0.331
2015-05-14;0.459
2015-05-15;0.969
2015-05-16;0.635
2015-05-17;0.473
2015-05-18;0.398
2015-05-19;0.362
2015-05-20;0.524
2015-05-21;0.359
2015-05-22;0.29
2015-05-23;0.258
2015-05-24;0.237
2015-05-25;0.416
2015-05-26;0.509
2015-05-27;0.316
2015-05-28;0.262
2015-05-29;0.237
2015-05-30;0.229
2015-05-31;0.201
2015-06-01;0.186
2015-06-02;0.179
2015-06-03;0.159
2015-06-04;0.155
2015-06-05;0.146
2015-06-06;0.205
2015-06-07;0.137
2015-06-08;0.142
2015-06-09;0.14
2015-06-10;0.137
2015-06-11;0.133
2015-06-12;0.137
2015-06-13;0.137
2015-06-14;0.176
2015-06-15;0.463
2015-06-16;0.221
2015-06-17;0.162
2015-06-18;0.27
2015-06-19;0.32
2015-06-20;0.269
2015-06-21;0.23
2015-06-22;0.179
2015-06-23;0.207
2015-06-24;0.152
2015-06-25;0.136
2015-06-26;0.119
2015-06-27;0.111
2015-06-28;0.1
2015-06-29;0.094
2015-06-30;0.087
2015-07-01;0.079
2015-07-02;0.073
2015-07-03;0.066
2015-07-04;0.061
2015-07-05;0.058
2015-07-06;0.056
2015-07-07;0.055
2015-07-08;0.057
2015-07-09;0.06
2015-07-10;0.056
2015-07-11;0.054
2015-07-12;0.05
2015-07-13;0.053
2015-07-14;0.054
2015-07-15;0.05
2015-07-16;0.047
2015-07-17;0.044
2015-07-18;0.055
2015-07-19;0.054
2015-07-20;0.047
2015-07-21;0.044
2015-07-22;0.053
2015-07-23;0.214
2015-07-24;0.071
2015-07-25;0.053
2015-07-26;0.052
2015-07-27;0.075
2015-07-28;0.056
2015-07-29;0.068
2015-07-30;0.069
2015-07-31;0.05
2015-08-01;0.049
2015-08-02;0.052
2015-08-03;0.044
2015-08-04;0.043
2015-08-05;0.042
2015-08-06;0.039
2015-08-07;0.033
2015-08-08;0.028
2015-08-09;0.04
2015-08-10;0.093
2015-08-11;0.047
2015-08-12;0.04
2015-08-13;0.044
2015-08-14;0.046
2015-08-15;0.042
2015-08-16;0.076
2015-08-17;0.06
2015-08-18;0.042
2015-08-19;0.042
2015-08-20;0.04
2015-08-21;0.035
2015-08-22;0.034
2015-08-23;0.094
2015-08-24;0.185
2015-08-25;0.084
2015-08-26;0.047
2015-08-27;0.039
2015-08-28;0.033
2015-08-29;0.033
2015-08-30;0.031
2015-08-31;0.027
2015-09-01;0.037
2015-09-02;0.053
2015-09-03;0.039
2015-09-04;0.035
2015-09-05;0.038
2015-09-06;0.064
2015-09-07;0.039
2015-09-08;0.034
2015-09-09;0.031
2015-09-10;0.033
2015-09-11;0.028
2015-09-12;0.052
2015-09-13;0.066
2015-09-14;0.188
2015-09-15;0.077
2015-09-16;0.082
2015-09-17;0.535
2015-09-18;0.145
2015-09-19;0.135
2015-09-20;0.096
2015-09-21;0.067
2015-09-22;0.173
2015-09-23;0.41
2015-09-24;0.169
2015-09-25;0.107
2015-09-26;0.077
2015-09-27;0.059
2015-09-28;0.057
2015-09-29;0.051
2015-09-30;0.05
2015-10-01;0.049
2015-10-02;0.051
2015-10-03;0.048
2015-10-04;0.13
2015-10-05;0.065
2015-10-06;0.103
2015-10-07;0.089
2015-10-08;0.059
2015-10-09;0.06
2015-10-10;0.057
2015-10-11;0.051
2015-10-12;0.051
2015-10-13;0.051
2015-10-14;0.051
2015-10-15;0.054
2015-10-16;0.055
2015-10-17;0.051
2015-10-18;0.051
2015-10-19;0.051
2015-10-20;0.05
2015-10-21;0.042
2015-10-22;0.042
2015-10-23;0.042
2015-10-24;0.042
2015-10-25;0.042
2015-10-26;0.042
2015-10-27;0.042
2015-10-28;0.048
2015-10-29;0.157
2015-10-30;0.065
2015-10-31;0.054
2015-11-01;0.051
2015-11-02;0.051
2015-11-03;0.051
2015-11-04;0.051
2015-11-05;0.051
2015-11-06;0.047
2015-11-07;0.042
2015-11-08;0.044
2015-11-09;0.048
2015-11-10;0.042
2015-11-11;0.042
2015-11-12;0.042
2015-11-13;0.042
2015-11-14;0.042
2015-11-15;0.042
2015-11-16;0.042
2015-11-17;0.042
2015-11-18;0.042
2015-11-19;0.042
2015-11-20;1.168
2015-11-21;0.893
2015-11-22;0.372
2015-11-23;0.223
2015-11-24;0.162
2015-11-25;0.47
2015-11-26;0.55
2015-11-27;0.375
2015-11-28;0.27
2015-11-29;0.237
2015-11-30;0.532
2015-12-01;0.405
2015-12-02;0.273
2015-12-03;0.201
2015-12-04;0.169
2015-12-05;0.147
2015-12-06;0.13
2015-12-07;0.111
2015-12-08;0.098
2015-12-09;0.182
2015-12-10;0.132
2015-12-11;0.107
2015-12-12;0.102
2015-12-13;0.093
2015-12-14;0.087
2015-12-15;0.087
2015-12-16;0.129
2015-12-17;0.105
2015-12-18;0.087
2015-12-19;0.087
2015-12-20;0.087
2015-12-21;0.141
2015-12-22;0.111
2015-12-23;0.095
2015-12-24;0.087
2015-12-25;0.087
2015-12-26;0.087
2015-12-27;0.073
2015-12-28;0.072
2015-12-29;0.072
2015-12-30;0.072
2015-12-31;0.075
