model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;kf_riv;rhkp;rhkf;man;rch;offset;ME;50E;MAE;50AE;RBIAS;RABIAS;r_rank;r_lin;n_5m;n_3m;n_1m;MAE_sfr;ME_sfr;RBIAS_sfr;RABIAS_sfr;r_rank_sfr;r_lin_sfr;r_rank_multi;MAE_multi
50;439.98163;1.005095;3.5639944;6.1291347;2.6114511;4.663355;0.99201715;6.335137;0.10317015;8.58241;6.764665;1.6718293;1.9871178;2.0887692;6.335137;0.10317015;3.0310788;6.1407685;0.814899;1.2183868;0.12720376;0.10317015;1.1235309;0.000879126;6.3653e-05;0.9134982;1.022946;1.6798408;;;;;;;;;;;;;;;;;;;
51;401.47244;1.093118;6.764969;8.468703;2.7026293;3.5394435;2.176331;4.1717644;0.4584267;5.980179;6.28784;1.8943021;1.219689;1.6952081;4.1717644;0.13095264;5.980179;3.07768;0.9671504;1.219689;0.22519794;0.13095264;1.1283263;0.000853904;0.000185974;1.0601261;0.99368405;1.8327343;;;;;;;;;;;;;;;;;;;
52;557.3849;3.761201;8.367307;6.669709;3.021032;3.887789;2.0522165;5.8169346;0.43853182;3.440503;8.16825;1.5834312;2.303092;0.9947773;3.5705736;0.37509456;2.7977297;3.1997817;1.0149809;0.80408025;0.42388457;0.2846036;1.0244956;0.000478698;0.000334068;1.0246761;0.9064505;2.6713006;;;;;;;;;;;;;;;;;;;
53;532.97015;2.6505804;1.5995216;7.896418;3.6108694;8.49265;2.347132;5.298656;0.23039722;6.551546;9.485016;2.3633146;1.4644977;1.0300919;0.20636454;0.23039722;2.665489;9.485016;1.0194669;0.92544144;0.33677676;0.14006524;1.0564538;0.000690931;0.000357152;1.0007712;1.0805779;1.6812452;;;;;;;;;;;;;;;;;;;
54;541.0331;4.357884;8.584896;7.5503855;2.9053838;6.588381;2.1303053;7.1834764;0.35961655;5.4897933;8.778814;1.8988258;1.2614229;1.0740771;2.7898555;0.35961655;5.4897933;5.057276;0.9669546;1.0601816;0.16181171;0.33460924;1.1692556;0.000867363;0.000282114;0.9799529;0.96710587;0.7360308;;;;;;;;;;;;;;;;;;;
55;556.1458;1.6920617;1.2420267;3.2677014;2.9817917;4.522015;0.67899036;2.6901395;0.15998945;5.420194;6.118724;2.7394323;2.3803;2.202387;2.3363583;0.1516904;5.420194;6.118724;1.0852089;0.939181;0.44822007;0.1516904;1.1137474;0.000760659;1.19472e-05;0.96126646;1.0751908;1.4239745;-2.8922239182790155;0.4374324891626884;6.425451469126875;1.6567128148739982;0.24478181999023663;0.7857115539273821;0.7595400010757188;0.46451910224786336;0.8292682926829268;0.6585365853658537;0.3902439024390244;0.5528763482005943;-0.5528763482005943;-0.37710559608844046;0.37710559608844046;0.8571428571428572;0.9732485670245354;0.7450643706126927;5.252284725878561
56;491.78314;1.0553076;9.079318;9.408939;3.1917298;6.480729;2.388768;6.075178;0.40163523;3.6113896;9.507646;3.1917298;0.5416005;1.0819453;3.3553092;0.40163523;3.6113896;3.0518851;1.136157;0.5416005;0.19296195;0.3829512;1.0066797;0.001192502;0.000121629;1.0393087;0.9547951;2.6950588;-4.063152077072453;-0.0966451718765029;6.9964803517407566;2.198894408409558;0.6149932473357871;1.044266887305269;0.7105710185754947;0.429670038535895;0.8780487804878049;0.6097560975609756;0.34146341463414637;0.6413597333793355;-0.6413597333793355;-0.43917572816452;0.43917572816452;0.9047619047619048;0.9786551081828;0.7131668039155004;5.725226907615799
57;513.7482;2.5523293;9.778125;6.7571797;2.8504229;4.0814867;0.5494104;2.2195525;0.49935728;7.1131463;5.3499837;2.0654912;1.5995475;2.1449392;2.2195525;0.4520115;3.7258277;5.3499837;0.8184099;1.1496875;0.7337218;0.20764908;1.1314032;0.001310249;0.00023266;1.0321637;0.90615547;2.9916463;;;;;;;;;;;;;;;;;;;
58;427.9594;3.9442563;6.973842;2.7389655;3.4521568;8.750096;1.1871122;6.604838;0.47786742;8.562372;2.590361;1.6570902;2.37253;1.4806355;6.604838;0.2512317;8.562372;2.590361;1.0173506;1.2654643;0.6437116;0.2512317;1.0526928;0.001091212;0.00028594;0.9458839;1.0696039;2.448422;;;;;;;;;;;;;;;;;;;
59;422.906;4.886911;9.856723;3.6849825;2.0098152;7.5214515;1.2784704;6.6778355;0.35357293;5.8804307;3.0612621;2.0098152;2.3697057;1.5378039;4.239878;0.14636315;5.8804307;3.0612621;1.0409286;1.2427758;0.4473374;0.13042215;1.0243943;0.001382639;0.00010188;0.9683967;0.9802208;1.9127939;;;;;;;;;;;;;;;;;;;
