model_run;-8;-7;-6;-5;-4;1-3;1.8-3;3-3;4-3;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
1106;124.54713;979.97614;801.7896;15.279558;9.661744;0.7752231;1.5698923;0.5772298;1.3134422;1.2116375;0.0;0;-40.814811847266185;-16.4669355914682;41.444361003183715;16.4669355914682;-1.1789427603746163;0.20044593143431833;0.18531554452469942;0.04878048780487805
1107;396.16196;137.95857;455.62;69.653244;4.5047345;0.36644632;0.107986614;1.0357777;0.2278933;0.833228;0.0;0;-23.496359343666494;-9.995926200817337;25.304551072354403;10.587995287662295;-1.3290027946642977;0.2843320607243313;0.20500250468850628;0.12195121951219512
1108;998.6234;374.03665;434.35748;86.96003;4.9026794;1.2199059;0.36904377;1.0977387;1.2130461;0.993829;0.0;0;-28.96927162057781;-13.975863408489175;30.389447295361844;15.178693528793474;-1.3408028159280445;0.29632806532566497;0.19861248636922946;0.14634146341463414
1109;200.66492;604.31824;368.1665;90.163734;3.0012946;0.41887203;0.13573702;1.6951504;0.37484354;1.0112889;0.0;0;-21.07103217534933;-9.351993275429265;25.915422237731747;12.588244309443155;-1.8780157834801323;0.270364639892196;0.2978047259308474;0.2682926829268293
1110;162.42395;93.98943;391.7184;84.157715;0.8653046;0.5287729;1.6331137;0.5098426;1.1977723;1.0318899;0.0;0;7.730329626089374;2.320811303963893;31.816402108249694;13.093850255012825;-3.879496327806648;-0.102313402790745;-0.3773875785376124;0.3170731707317073
1111;428.57233;388.82895;524.76;53.106907;5.886544;1.3488622;0.22204146;1.8104026;0.31080708;1.0166472;0.0;0;-29.991073410334234;-13.573922763443989;31.62005965416269;13.829285289809746;-1.2987828619733202;0.2843320607243313;0.18786264109418893;0.14634146341463414
1112;623.47186;268.56036;115.73183;78.90421;3.4540975;1.9188467;1.8470916;1.075184;0.19801962;0.96952295;0.0;0;-25.83116883085049;-12.025213228433103;28.085311017225806;12.198248796153024;-1.3173726855111376;0.28857582282469446;0.20132335453062547;0.14634146341463414
1113;933.5718;952.5297;430.81522;92.64294;6.2444854;1.5120716;1.3308773;1.4563986;0.9470327;1.106416;0.0;0;-36.934728729804355;-14.943785642902668;38.066292527798765;14.976794994065216;-1.2810718470912141;0.20044593143431833;0.18531554452469942;0.12195121951219512
1114;981.01294;417.46997;655.4614;2.4339228;5.5621405;0.25704333;1.8199805;1.2272265;1.42241;0.8277799;0.0;0;-39.36921205762346;-16.4508652667854;39.833235331443724;16.4508652667854;-1.1425239431645522;0.20044593143431833;0.18531554452469942;0.04878048780487805
1115;78.94423;765.0441;503.21042;41.268612;2.1769392;0.6319888;0.8236287;1.6597873;0.48452356;1.1436353;0.0;0;-19.776028574518662;-6.434317023210923;24.891030567267407;11.597875524265675;-1.9826023317030164;0.3507412181897828;0.32056579827675963;0.2682926829268293
