model_run;-8;-7;-6;-5;-4;1-3;1.8-3;3-3;4-3;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
1226;475.25638;490.68698;300.4074;98.44201;5.139466;1.9553766;0.5231982;0.11456785;0.17131294;1.217748;0.0;0;-10.186718750547444;-9.651529161494977;13.654319881131164;12.052691184289841;-1.507470969374188;0.2050454192051589;0.21679263543028934;0.1794871794871795
1227;481.33084;318.48306;720.40796;89.45694;2.6761944;0.39712602;0.0696575;1.5049008;1.8599845;0.92354065;0.0;0;-2.326407807075085;-1.4911271278174922;8.915463991717978;8.0331021169643;-2.028133407588205;0.38553893265002526;0.3258852544480625;0.3076923076923077
1228;936.1865;457.72382;677.36316;24.30437;0.3308586;0.114900306;0.22003852;1.0602138;1.6086022;1.0197761;0.0;0;45.271871960179354;52.169130786775895;51.78472450867215;52.169130786775895;-15.82404307837838;-0.3517348482725649;-0.31799102976891397;0.07692307692307693
1229;68.89182;439.41187;749.6093;91.03828;3.2297897;1.6886584;1.6999481;0.39001876;0.3681062;1.2168131;0.0;0;-8.492580638595784;-8.258411806084808;11.302170058977213;9.874086429864917;-1.521992353886628;0.35095143254523936;0.2511024091942193;0.2564102564102564
1230;223.02649;908.8538;71.1375;13.882869;1.2845771;0.41251987;1.7661924;1.7878139;1.1997107;1.0042562;0.0;0;-11.840529350504779;-10.72779323375309;14.807813921842504;11.963318947549595;-1.7045493031806278;0.4426681480036608;0.2988653784284435;0.3076923076923077
1231;589.91364;495.03625;993.9751;85.35377;2.2350929;0.05778537;1.7473572;1.8682234;0.27272886;0.83507705;0.0;0;-15.230133012291885;-10.719999135422825;17.649485330118413;10.929690423011209;-1.4167559574779158;0.28625684979595994;0.2222292446387938;0.23076923076923078
1232;203.53165;820.3139;63.875828;18.414005;3.2721393;1.1006743;1.1118876;1.7625458;1.8729801;0.8215415;0.0;0;-20.74607669459115;-14.345485906002267;21.90462279589702;15.307024138231014;-1.3365784620492065;0.2991688517571227;0.2050915595749607;0.15384615384615385
1233;682.73175;233.39587;827.4903;42.617775;4.0948157;1.9387752;1.8710825;1.1263324;1.183009;1.1994476;0.0;0;-10.163558957770867;-10.094613723248841;11.333936612677942;10.288429636796877;-1.3499691768225253;0.2991688517571227;0.21505237398958157;0.2564102564102564
1234;221.95137;358.56198;742.8663;98.39377;4.68974;0.5423203;1.0031943;0.7528267;0.64233273;1.1928177;0.0;0;-11.082646354940838;-10.589868916723674;12.981970771848795;10.940225069863402;-1.4021290228050765;0.2991688517571227;0.21766100229264465;0.1794871794871795
1235;108.1654;84.338486;595.8442;9.795189;5.206771;0.8233587;0.93046397;0.3321526;1.3639967;0.87551415;0.0;0;-15.806433628825193;-15.248166364997473;16.403787819176966;15.248166364997473;-1.1892337332320546;0.20179252118611385;0.18967942390624523;0.05128205128205128
1236;214.91531;426.5403;444.4686;83.994804;3.7063076;0.48196214;0.9540205;0.7607142;0.015051497;1.0616044;0.0;0;-8.338840198884915;-8.744434776512719;13.820372757784407;14.016116455230275;-1.6637959157113296;0.08243477764509323;0.08202860534299541;0.23076923076923078
1237;428.50668;672.0129;759.56104;49.523922;4.9885125;1.12039;0.51568276;1.2282195;0.582837;0.8332642;0.0;0;-21.509773643561175;-14.504417933444273;22.801833252988626;14.583234968932686;-1.3011688296597663;0.20179252118611385;0.18967942390624515;0.10256410256410256
1238;184.37692;839.78534;742.4592;11.188038;4.184406;0.6523504;1.2308717;0.4608412;0.4759967;0.86574715;0.0;0;-21.33692881945268;-13.262919605049092;22.472298894785332;14.192050566232354;-1.2770439934156945;0.20179252118611385;0.18967942390624515;0.1282051282051282
1239;143.34511;570.25574;145.80655;95.25389;9.644746;1.1868134;0.90341276;0.93328583;0.6988923;1.2103312;0.0;0;-22.598387280537356;-15.177158039306391;23.577505616165563;15.177158039306391;-1.221301575278694;0.20179252118611385;0.18967942390624515;0.10256410256410256
1240;861.6791;643.67194;794.7062;54.968212;0.6857323;0.96126163;1.9495687;1.1504548;0.1797596;0.950883;0.0;0;-7.011685126499588;-3.200692026622221;12.242860385642757;10.177700695055535;-1.834821099788693;0.25622846482713385;0.28358749596278643;0.3076923076923077
1241;327.19324;185.4944;87.77143;88.076035;5.8636537;1.8585414;0.35224298;1.4655546;1.9362994;0.8542593;0.0;0;-19.004007358343948;-16.168219759195125;19.7587203699816;16.168219759195125;-1.2268182031432529;0.20179252118611385;0.18967942390624515;0.10256410256410256
1242;367.1511;46.833977;505.54068;86.92378;1.9445353;1.3433348;0.16264148;0.19178872;0.9410963;1.0120612;0.0;0;37.492223765231145;16.464018297605747;45.69148294579653;19.024621279742263;-8.320251310884638;-0.20756866760000534;-0.4729825993113874;0.07692307692307693
1243;64.717705;793.77124;648.631;1.5619948;3.7606242;1.3683622;0.70876825;1.7353226;1.7142522;1.1755027;0.0;0;-11.34223202476103;-12.80288961691096;13.729712633972198;13.920284459454933;-1.6358118132576034;0.4408995543585866;0.2846866129365126;0.3076923076923077
1244;363.79593;175.36783;823.472;26.557587;5.4691935;0.9780689;0.43894434;0.91758806;0.12843154;1.1664757;0.0;0;-6.2811324039233165;-6.1461675162222775;9.074589775848962;6.686628765518776;-1.4090968089097673;0.28625684979595994;0.22697081586326484;0.358974358974359
