model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m;n_3m;n_1m
4437;243.9272;756.849;701.27966;61.497253;98.49483;62.862236;4.411809;1.0161848;0.5482129;1.7545675;0.040948454;98.49483;11.649825;2.7733812;1.0161848;0.5482129;0.45010895;0.040948454;61.742973;11.649825;2.7396398;0.5482129;0.96058017;0.0;0;-7.647852288761715;1.308363021414749;22.465669329195503;10.846166023455453;-2.3608293643618836;-0.05971290362551321;-0.04453323429104772;0.34146341463414637;0.2682926829268293;0.0975609756097561
4438;303.4236;522.5695;377.94583;21.961666;719.5019;99.56001;3.3052068;0.54755056;1.684954;0.76332426;0.78463113;391.548;19.553165;2.8534036;0.54755056;1.1076945;0.76332426;0.78463113;12.489401;19.553165;0.14601755;1.1076945;0.8995101;0.0;0;6.507681337295157;12.4687682098957;32.73223749672791;15.639669278371287;-5.9252279156178425;-0.010956630325813163;-0.238866080676912;0.0975609756097561;0.04878048780487805;0.0
4439;308.76758;185.77109;710.7154;21.527164;83.43969;36.78913;2.6318297;0.011158328;1.1142392;0.80314285;1.6184593;83.43969;35.120926;7.7348337;0.011158328;1.111821;0.020829793;0.07602783;42.13345;21.532795;1.5207261;0.9602288;1.1479546;0.0;0;15.047116394271367;8.993849362503227;33.11214822561239;10.548299718727634;-4.6698053834575814;0.04591268592528493;-0.33210604651514214;0.21951219512195122;0.17073170731707318;0.07317073170731707
4440;50.46129;567.4416;221.686;3.0143256;402.20377;27.365705;6.4393;1.5622219;0.46107963;0.25033826;0.018913262;402.20377;27.365705;6.4987617;0.7874804;0.46107963;0.25033826;0.018913262;69.22766;27.365705;4.980219;0.29076022;0.76076764;0.0;0;-31.14790386399403;-14.238176650252598;34.11514161642507;15.671306265846198;-1.3309898699334755;-0.021314604424743058;0.09446984162705568;0.12195121951219512;0.07317073170731707;0.024390243902439025
4441;321.541;948.83685;648.54083;15.498333;237.98764;28.34568;9.218084;1.2593989;1.3322711;1.9775189;0.6166812;237.98764;28.34568;8.877411;1.2593989;0.7082963;0.46182027;0.6166812;29.018461;28.34568;0.93786347;0.7082963;1.0527705;0.0;0;12.457352488231395;11.220754302349377;36.78348079302633;15.63601987483986;-6.2443959255106956;-0.028918319384523262;-0.30293601015401944;0.12195121951219512;0.0975609756097561;0.024390243902439025
4442;879.13464;708.4611;134.25894;33.714478;172.98398;61.739628;1.4740771;1.0605528;0.74934244;0.2990395;0.5238692;172.98398;61.739628;3.6684363;1.0605528;0.23897354;0.2990395;0.5238692;24.295654;61.739628;8.923835;0.23897354;1.1553936;0.0;0;-29.80604623236083;-15.78764249533964;30.902391650453488;15.78764249533964;-1.1958791582940647;0.20044593143431833;0.18531554452469942;0.07317073170731707;0.04878048780487805;0.0
4443;912.8678;305.81534;178.0481;54.118416;538.21375;16.35411;7.4189563;1.2478933;1.1673241;0.68323314;0.27610654;514.0388;16.35411;5.0565405;1.2478933;1.1673241;0.448831;0.27610654;95.86401;16.35411;1.1451334;0.44224614;1.2301359;0.0;0;1.4813286097036196;11.078386550880595;28.89553743741476;13.966070874038678;-5.075709646639339;0.023978854893377987;-0.10709125932263891;0.0975609756097561;0.0975609756097561;0.04878048780487805
4444;118.538994;713.76447;618.3173;13.167775;722.49274;16.535557;6.2209315;0.6540965;0.20257857;1.8920265;0.18506233;196.21516;16.535557;1.4505892;0.35820037;0.20257857;0.71252793;0.18506233;62.516464;16.535557;1.1344198;0.20257857;1.0790725;0.0;0;22.62935874847999;27.768503039914748;45.69930573199433;33.36885910853016;-10.385986679487067;-0.13260704588017572;-0.21960209597640254;0.04878048780487805;0.04878048780487805;0.0
4445;463.47797;289.78024;343.40378;55.80146;492.31784;26.08732;6.673652;0.25484303;1.7615973;0.9153009;0.5054537;492.31784;26.08732;8.52908;0.25484303;0.48706818;0.9153009;0.37415692;60.83767;8.506862;3.194648;0.48706818;0.86134076;0.0;0;-24.82858124106626;-8.928433767484307;26.384067540460475;11.06804233383798;-1.4450050041474243;0.3562831181532157;0.23165736784839425;0.2682926829268293;0.14634146341463414;0.07317073170731707
4446;387.5354;547.26196;706.7403;26.40568;822.5944;54.139446;8.453403;0.72028476;1.1949979;0.6828222;0.40789208;113.55626;13.420977;6.189778;0.72028476;0.16765733;0.6828222;0.40789208;83.83548;13.420977;6.1609783;0.16765733;1.180839;0.0;0;-25.78996271916877;-10.643433007114623;27.302827721610047;13.345642408471605;-1.3744125453648262;0.29632806532566497;0.21221799714604328;0.14634146341463414;0.12195121951219512;0.024390243902439025
