model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m;n_3m;n_1m
1841;574.2831;990.69196;858.8887;40.344715;988.632;42.218163;0.8821758;1.3489836;1.3640537;0.948174;0.9060312;427.83624;13.174651;4.329351;0.18409881;1.2884291;0.7783016;0.040251378;54.44358;13.174651;1.6531874;1.2884291;1.0865011;0.0;0;6.439481519836136;4.903800248005751;8.141776884375162;5.177513161500315;-2.2651657489591264;0.24320581015019285;0.3180747147732916;0.46153846153846156;0.2564102564102564;0.10256410256410256
1842;162.7403;725.6;638.9185;30.061638;555.24164;79.77146;6.3989077;0.16396032;0.91537684;0.48872548;1.1198545;555.24164;16.906645;7.763453;0.16396032;0.31730196;0.48872548;1.1198545;38.198303;16.906645;2.471528;0.2896699;0.7786334;0.0;0;-8.296597408157943;-10.607271353617364;10.927776605829493;10.976170839464714;-1.7331051399395347;0.36478960513190817;0.2850161707515712;0.3076923076923077;0.2564102564102564;0.05128205128205128
1843;941.6655;345.8586;539.42584;65.705605;681.6647;83.10604;7.0042434;1.0870783;1.452851;0.09791623;1.0144523;543.1568;25.927507;8.7099085;1.0870783;0.81396586;0.09791623;0.6405814;95.7951;25.927507;1.0041168;0.81396586;1.0229722;0.0;0;4.7508662999215865;5.375625226812929;10.027686114534264;8.13810106101252;-3.4400049214608246;0.1662581348967138;0.23983687881998453;0.2564102564102564;0.15384615384615385;0.07692307692307693
1844;175.69135;605.20593;458.39682;81.440414;740.5196;42.16379;3.0446453;1.1523651;0.32258967;0.93990856;0.3570063;740.5196;30.56229;1.6517829;0.43820387;0.32258967;0.93990856;0.3570063;12.615671;26.230284;9.3572445;0.32258967;0.8023175;0.0;0;-25.984794094794488;-17.262243828603886;27.492691540361964;17.262243828603886;-1.271762064886636;0.20179252118611385;0.18967942390624515;0.05128205128205128;0.05128205128205128;0.02564102564102564
1845;630.3728;88.96898;487.3531;16.517149;757.1996;39.74637;1.6771791;0.04556427;1.9172122;0.9120168;1.7419729;504.99207;39.74637;6.971626;0.04556427;1.7292966;0.7774544;0.6466074;12.554069;39.74637;6.6754484;0.44537234;1.1622199;0.0;0;-14.535303993396855;-9.98118909623338;15.64995743694898;10.407836770554468;-1.272807117647495;0.20179252118611385;0.18967942390624515;0.1794871794871795;0.10256410256410256;0.10256410256410256
1846;332.97598;229.46567;771.52844;25.548777;34.185333;19.58704;4.488445;0.76055473;1.3119462;0.7192087;0.19108953;34.185333;19.58704;6.9835176;0.46207628;0.59122235;0.7192087;0.19108953;11.383717;19.58704;6.8139944;0.59122235;1.0935278;0.0;0;-12.106539970518435;-12.485226874688948;13.536899317011317;12.485226874688948;-1.1874488696020982;0.18850285172661183;0.19120217668763612;0.10256410256410256;0.02564102564102564;0.0
1847;645.1457;423.36484;518.0102;10.5003605;136.19958;97.56261;7.5527725;0.06677597;1.755135;1.2764803;0.43392217;136.19958;27.113203;1.4755011;0.06677597;0.5705366;0.5380536;0.43392217;18.37242;2.8875747;9.615927;0.5705366;1.0196575;0.0;0;-21.74889354737896;-17.24165468006001;22.640958904890184;17.24165468006001;-1.1502484396041748;0.20179252118611385;0.1896794239062452;0.05128205128205128;0.05128205128205128;0.05128205128205128
1848;418.13602;209.80031;184.26445;16.102377;235.44516;31.168432;8.868049;1.9341018;1.1178497;1.0674475;1.12782;62.025303;21.569025;8.480413;1.5403645;1.1178497;1.0674475;0.12535104;59.862003;21.569025;4.311682;0.9087731;1.1584568;0.0;0;-1.947293163899086;-1.7988227152462741;6.574781654107683;4.931043168502271;-1.4522155623266788;0.2671536096593005;0.23354517029123145;0.5128205128205128;0.2564102564102564;0.05128205128205128
1849;762.04663;953.966;67.595795;40.747475;278.77954;34.329998;8.155215;0.4384902;1.6036015;0.2399532;0.92765635;278.77954;34.329998;8.656621;0.20059931;0.04446622;0.2399532;0.92765635;83.419075;15.36977;5.1694703;0.04446622;0.8534213;0.0;0;-18.04470077463214;-14.446418610562489;18.80259119383618;14.771827643004144;-1.246850567537429;0.20179252118611385;0.18967942390624515;0.1282051282051282;0.05128205128205128;0.02564102564102564
1850;238.37233;995.64154;134.92441;77.61004;906.3145;43.04266;1.1041967;1.382523;0.662073;0.105759524;1.1947452;295.96573;20.194801;1.3608798;1.382523;0.662073;0.105759524;1.1947452;21.288555;11.993976;1.8054765;0.44770694;1.0471524;0.0;0;13.148599744613538;8.571388342127136;21.299137979676004;15.11747242534804;-5.115444561322588;-0.06094018192975307;-0.32775454349170563;0.05128205128205128;0.02564102564102564;0.02564102564102564
1851;906.73395;377.22656;258.9267;54.20763;725.3772;8.135307;2.235538;1.3507936;0.27482134;1.7824361;1.8401996;555.13043;8.126965;7.322195;1.0403427;0.10363795;0.09997391;0.11027158;16.33454;8.126965;4.99199;0.10363795;0.8798526;0.0;0;-9.014805989323028;-6.2845039165525804;11.768883028976811;7.056882213441725;-1.1751148387883172;0.40781197729156654;0.22239565539116318;0.358974358974359;0.23076923076923078;0.15384615384615385
1852;505.20755;712.1367;374.0568;5.4223003;151.8488;32.92091;6.1736875;1.5467415;0.71410316;1.4869196;0.5791356;151.8488;32.92091;2.3623924;1.0241435;0.12131867;0.1794038;0.5791356;95.6394;32.92091;6.8765078;0.12131867;0.833945;0.0;0;-21.994232552324775;-16.054702289010578;22.90429482536322;16.054702289010578;-1.1874068090329535;0.20179252118611385;0.18967942390624515;0.05128205128205128;0.02564102564102564;0.02564102564102564
1853;758.5322;413.69302;893.4919;62.546165;432.0915;93.065414;7.102002;0.6773019;1.79488;0.93175936;0.30991998;432.0915;66.86684;2.3192997;0.6773019;0.9862741;0.43708816;0.30991998;87.386444;66.86684;1.9389626;0.9862741;0.7812865;0.0;0;-11.087930369198288;-8.332358613262357;13.837222392453508;9.01181402361982;-1.543544703276989;0.35095143254523936;0.2520423882454663;0.2564102564102564;0.10256410256410256;0.05128205128205128
1854;851.2329;148.1141;246.69637;79.55089;250.69032;7.5357347;0.097294986;0.37695202;1.3992021;0.99713224;0.2513631;165.49683;7.509273;1.2718086;0.16064458;1.3992021;0.88198763;0.2513631;32.192806;7.509273;0.4340846;0.42450526;1.2447475;0.0;0;35.82520532285134;19.885026569214176;41.512532580619386;19.885026569214176;-9.708758518627247;-0.1955386641998804;-0.44444225315287667;0.10256410256410256;0.07692307692307693;0.02564102564102564
