[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[m];
-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;rch;offset;complete
833.9372;253.32683;338.81808;58.289154;368.41132;11.912867;0.9506427;0.97443837;0.97224057;0.3732156;1.0724839;368.41132;1.9116101;9.622146;0.20530984;0.04811702;0.3732156;1.0724839;26.774517;1.9116101;1.5656862;0.04811702;1.0998107;0.0;0
806.71674;998.90265;476.56952;89.09777;610.2431;98.15919;9.789974;1.9183837;0.22318655;0.89964736;0.9319836;610.2431;76.35144;2.0453944;1.0168983;0.22318655;0.89964736;0.9319836;66.54879;76.35144;5.32514;0.22318655;1.0330245;0.0;0
393.6036;237.35582;639.9475;9.452779;839.463;10.9119215;1.2865511;0.702275;1.6771866;1.8739;0.30809724;90.698616;10.9119215;7.3647003;0.31574628;1.2010465;0.32374662;0.271643;47.848156;3.853752;6.999015;1.2010465;1.1462529;0.0;0
295.44482;832.3285;434.02246;33.92621;152.14699;35.576523;9.6722555;1.4837886;0.54746795;0.42583776;1.165508;152.14699;35.576523;7.113651;0.21343713;0.54746795;0.42583776;1.165508;12.795801;35.576523;2.9710882;0.54746795;1.0402554;0.0;0
685.67053;167.52657;962.51385;65.96887;149.69121;87.67277;1.1359946;1.8592482;1.0507922;1.5633616;1.1532358;149.69121;83.31625;1.671251;0.88851386;0.5247969;0.29438937;0.7193334;33.12283;81.988945;9.842549;0.5247969;0.8216292;0.0;0
148.35497;980.4422;708.3877;97.99502;632.09436;65.29627;8.623681;0.48880878;1.2404525;1.1730353;1.2148074;632.09436;65.29627;0.26413545;0.48880878;0.34658766;0.02324822;0.492478;26.49715;36.416874;4.6733546;0.050643634;0.8211067;0.0;0
207.90912;233.26822;11.261009;84.842606;299.81915;32.04781;5.7505555;0.1719467;0.61839396;0.81733453;0.8329754;299.81915;24.676256;2.3099983;0.1719467;0.18234082;0.025771486;0.8329754;84.05211;24.676256;5.9598756;0.18234082;0.7929573;0.0;0
17.288647;427.47168;33.046688;84.664856;648.05707;97.03764;8.318939;0.16062912;0.7091163;0.9238692;0.58719695;89.143364;83.83273;5.414305;0.16062912;0.7091163;0.9238692;0.58719695;54.77701;65.863434;5.36444;0.7091163;0.84857553;0.0;0
789.0551;562.97845;693.3972;51.766533;822.3774;50.159744;6.3439994;0.15525731;1.025927;0.82651806;0.66337365;822.3774;50.159744;1.2724115;0.15525731;0.9897594;0.82651806;0.66337365;26.205656;32.279137;7.7126017;0.9897594;0.7708578;0.0;0
668.20233;129.08286;418.51865;56.473484;86.10181;0.9101786;7.6906834;0.7075365;1.612815;1.6563331;1.6703707;86.10181;0.9101786;9.401329;0.7075365;1.2294173;0.6587262;1.6703707;61.20489;0.9101786;9.3569145;0.8950646;0.96582866;0.0;0
