model_run;c;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
4776;43.066685;0.80910563;0.0;0;-53.08699784825508;-19.57384961338542;53.25430872662385;19.57384961338542;-1.0357932874546667;0.20044593143431833;0.18531554452469942;0.04878048780487805
4777;8.201169;1.0787446;0.0;0;-47.73095273342765;-18.452647063132247;48.07429472807408;18.452647063132247;-1.099113582641755;0.20044593143431833;0.18531554452469942;0.024390243902439025
4778;27.573786;1.0966669;0.0;0;-52.04481575434858;-19.553567641778272;52.24960407842521;19.553567641778272;-1.0492743297570732;0.20044593143431833;0.18531554452469937;0.04878048780487805
4779;65.55258;1.1572634;0.0;0;-53.22927080859001;-19.606131965189945;53.392244130950615;19.606131965189945;-1.03423302167532;0.20044593143431833;0.18531554452469942;0.04878048780487805
4780;30.868448;0.8405184;0.0;0;-52.88940990756365;-19.573650293112053;53.06337351672385;19.573650293112053;-1.0381863466275036;0.20044593143431833;0.18531554452469937;0.04878048780487805
4781;99.764885;1.0083858;0.0;0;-53.7130015973524;-19.906188851368626;53.8702346316453;19.906188851368626;-1.0321681780124965;0.20044593143431833;0.18531554452469937;0.04878048780487805
4782;91.63104;1.0804156;0.0;0;-53.577725840526135;-19.831477015080367;53.72593008211196;19.831477015080367;-1.0289204236865364;0.20044593143431833;0.18531554452469942;0.04878048780487805
4783;58.535137;0.8618498;0.0;0;-53.49160912713215;-19.935003628614595;53.78560605358072;19.935003628614595;-1.0813636282564971;0.20044593143431833;0.18531554452469942;0.024390243902439025
4784;96.695045;1.008464;0.0;0;-53.75481928686181;-19.90233205219883;53.959910678543146;19.90233205219883;-1.049383346450246;0.20044593143431833;0.18531554452469937;0.04878048780487805
4785;86.80305;1.0692226;0.0;0;-53.510631223901484;-19.77627935021684;53.67112883110837;19.77627935021684;-1.0333424801753435;0.20044593143431833;0.18531554452469937;0.04878048780487805
4786;31.896664;0.85722476;0.0;0;-52.87190290758376;-19.573552950675264;53.054110368228166;19.573552950675264;-1.041151749111431;0.20044593143431833;0.18531554452469942;0.04878048780487805
4787;74.96213;0.9377817;0.0;0;-53.63447157714464;-19.85302745539778;53.804956672581085;19.85302745539778;-1.0369350876429666;0.20044593143431833;0.18531554452469942;0.04878048780487805
4788;13.69181;0.8581694;0.0;0;-50.73674854218594;-18.940652913193986;50.98180556677091;18.940652913193986;-1.0637594165809645;0.20044593143431833;0.18531554452469937;0.024390243902439025
4789;68.4583;1.2014714;0.0;0;-53.29136931827442;-19.698415956248965;53.433439411317735;19.698415956248965;-1.026713904153808;0.20044593143431833;0.18531554452469937;0.04878048780487805
4790;49.113274;0.86839944;0.0;0;-53.50074154331983;-19.73098249860459;53.672754210313244;19.73098249860459;-1.0374845716430225;0.20044593143431833;0.18531554452469937;0.04878048780487805
