model_run;c;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
2398;12.40135;1.2499304;0.0;0;-32.53308497603817;-18.118168082743836;32.90572831971597;18.118168082743836;-1.1084028128583299;0.20179252118611385;0.18967942390624523;0.02564102564102564
2399;55.53001;1.1346703;0.0;0;-35.871347139481884;-19.59077156117999;36.183316432503645;19.59077156117999;-1.08657770103164;0.20179252118611385;0.18967942390624515;0.02564102564102564
2400;59.648544;1.018676;0.0;0;-36.4006480282246;-19.584615858958387;36.60460102631696;19.584615858958387;-1.04772307223319;0.20179252118611385;0.18967942390624515;0.05128205128205128
2401;79.229164;0.87738574;0.0;0;-36.37877324546267;-19.58923337693932;36.68619137363097;19.58923337693932;-1.0849405978418163;0.20179252118611385;0.18967942390624515;0.02564102564102564
2402;75.3098;0.9106527;0.0;0;-78.29483256909981;-73.79806717816086;99.35528159951417;80.52435768532172;-3.393255315350109;0.01620154969080695;-0.03982772437375619;0.02564102564102564
2403;89.255226;1.0076822;0.0;0;-36.601337358904075;-19.585990403331607;36.82209038063966;19.585990403331607;-1.0537662223235418;0.20179252118611385;0.18967942390624515;0.05128205128205128
2404;80.57921;1.0210415;0.0;0;-34.183670743667236;-18.087450085764743;34.769681298734234;18.087450085764743;-1.1851533050105274;0.20179252118611385;0.1896794239062452;0.07692307692307693
2405;24.734236;0.75683933;0.0;0;-35.673564431451965;-19.588453965792525;35.96645074348468;19.588453965792525;-1.07971334650826;0.20179252118611385;0.18967942390624515;0.02564102564102564
2406;55.592182;1.2297001;0.0;0;-35.907525480524505;-19.588060191741903;36.22198892774465;19.588060191741903;-1.0874748752552823;0.20179252118611385;0.18967942390624515;0.02564102564102564
2407;29.748222;1.0378032;0.0;0;-35.36863768678035;-19.587085203545314;35.69503570088513;19.587085203545314;-1.0917678679604668;0.20179252118611385;0.18967942390624515;0.02564102564102564
2408;32.98524;1.0445791;0.0;0;-35.64308057738614;-19.504984869843156;35.91896467820807;19.504984869843156;-1.0735974673644726;0.20179252118611385;0.18967942390624515;0.02564102564102564
2409;93.195114;0.85573554;0.0;0;-35.646677294141064;-19.352791232169125;36.08346661432442;19.352791232169125;-1.1314768139399898;0.20179252118611385;0.1896794239062452;0.02564102564102564
2410;68.19277;1.1324936;0.0;0;-36.347270356797836;-19.58637462925367;36.58284030634701;19.58637462925367;-1.059096031409357;0.20179252118611385;0.18967942390624515;0.05128205128205128
