model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;kf_riv;rhk;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;RABIAS;r_rank;r_lin;n_5m;n_3m;n_1m;MAE_sfr;ME_sfr;RBIAS_sfr;RABIAS_sfr;E_multi
211;516.2233;74.17364;7.1803484;3.8038409;57.42379;9.967821;1.7082582;0.50410634;1.4484563;0.9787295;1.8770763;57.42379;0.5282099;0.50307703;0.50410634;1.4225047;0.74406606;1.2274235;43.090652;0.5282099;0.8114664;0.8068269;3.7031913;0.009691501;0.988541;0.0;0;;;;;;;;;;;;;;;;
212;439.95514;70.02769;1.1387875;6.530711;52.00936;1.1975794;1.788736;1.1260608;0.8842216;1.1314621;1.7828529;52.00936;1.1975794;1.5033011;0.6606738;0.8842216;1.1314621;1.2497604;43.825474;0.7430328;0.54054564;0.8842216;1.7119548;0.009443015;0.9926607;0.0;0;;;;;;;;;;;;;;;;
213;560.8249;75.650154;9.245907;5.8617067;59.777714;7.0310397;0.57768965;1.979487;1.8378195;1.3573633;1.8227628;54.74542;1.9710373;1.5814819;0.9493956;1.0943196;1.3573633;1.0660056;31.73673;1.5114094;0.6061377;0.97727424;4.175162;0.009569809;1.03562;0.0;0;;;;;;;;;;;;;;;;
214;543.0814;77.04029;7.758445;8.158669;56.874844;6.5439205;0.6047212;0.81971514;1.4556637;0.79091984;1.6095887;54.94087;0.701053;1.1852037;0.81971514;1.4556637;0.6498033;0.6756686;48.622967;0.6399354;1.4131027;0.79315996;2.7260616;0.009783433;1.0196943;0.0;0;;;;;;;;;;;;;;;;
215;547.7968;75.62148;4.556662;6.8464665;54.011543;6.222855;1.2135044;1.5243793;1.5267776;0.8008166;0.6298043;54.011543;1.2883642;0.7375468;1.0624018;1.5267776;0.6336964;0.6298043;40.97771;1.2883642;0.79182845;0.8728911;2.3260381;0.009372951;1.014301;0.0;0;;;;;;;;;;;;;;;;
216;426.21155;76.935196;9.886176;5.420623;59.98004;7.990157;1.6724253;0.6574258;0.68963575;0.71262366;1.3749099;51.22389;0.6507869;1.0991628;0.6574258;0.68963575;0.71262366;1.1586511;30.540043;0.6507869;1.6914573;0.68963575;4.8987703;0.0099166045;1.0481192;0.0;0;;;;;;;;;;;;;;;;
217;424.75076;70.00013;7.467282;1.0702128;52.161716;6.276973;0.66465145;1.5948492;0.53126633;0.9461066;1.3332994;52.161716;1.1240139;0.92810106;1.5948492;0.53126633;0.9461066;1.3332994;45.328373;1.1240139;1.0040476;0.53126633;2.281983;0.009791249;0.97134674;0.0;0;;;;;;;;;;;;;;;;
218;585.5125;70.59442;8.411514;2.4191568;57.629112;6.4502482;1.7950832;1.1599956;1.3812295;1.4676182;1.8969767;51.22214;1.6037434;1.1804038;1.1599956;0.56938934;1.2345629;1.3971907;39.532215;0.93904847;0.683693;0.56938934;2.8456624;0.009976614;0.9873898;0.0;0;;;;;;;;;;;;;;;;
219;479.51562;76.98463;9.482816;3.9630082;52.70937;8.88396;0.7058687;1.0111603;0.7523231;1.2719476;1.7025415;52.70937;1.7952048;1.3081691;1.0111603;0.65489686;0.6807311;0.75378907;34.585274;0.81862295;1.1181498;0.65489686;3.2175353;0.009053075;1.0205059;0.0;0;;;;;;;;;;;;;;;;
220;460.18973;78.029;1.260164;6.3725457;55.435646;2.5993612;1.5432174;1.2583804;1.5325632;0.93081033;0.8674921;55.435646;1.8091171;1.7979503;1.2583804;1.5325632;0.93081033;0.8674921;31.812479;1.042902;0.9468778;1.5325632;1.5401438;0.0097692665;0.97149706;0.0;0;;;;;;;;;;;;;;;;
221;497.7168;77.17702;7.947221;8.110465;50.544212;5.733534;1.7049718;1.7279898;1.405827;1.93979;1.6362932;50.544212;1.6772563;1.5650144;0.8747884;1.0558252;1.7824719;0.6518371;39.36969;1.2524608;1.7502352;1.0308133;2.7778525;0.009200774;1.0243716;0.0;0;;;;;;;;;;;;;;;;
222;532.5728;76.63012;4.4157524;9.635583;58.464592;7.3801203;0.5682261;1.7575476;0.98925155;1.4503932;1.0640886;56.03302;1.7863586;0.6181689;1.3759966;0.98925155;0.94209486;1.0640886;45.872517;1.3924565;1.9338491;0.98925155;4.5231104;0.009297936;0.9944821;0.0;0;;;;;;;;;;;;;;;;
223;591.12463;77.07383;8.808582;6.358229;53.66152;3.7016835;1.7731138;1.0293343;1.1539998;0.9043852;1.0700908;53.66152;1.1991923;0.89610904;0.94810116;1.1539998;0.62209404;1.0700908;49.06059;1.1093423;0.50721866;1.1539998;4.178937;0.009482448;0.95247513;0.0;0;;;;;;;;;;;;;;;;
